"plot_ID","tree_ID","tree_inventory_status","multi_stem","dist_cm","azi_gon","age","age_meth","SP_code","Kraft","C_layer","H_dm","C_h_dm","D_mm","DBH_h_cm","inv_year","inv","X","Nr_code","Chr_code_ger","name","bot_name","bot_genus","bot_species","Flora_EU","LH_NH","IPC","WZE","BWI","BZE_al","tpS_SP_com_name","tpS_ID","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group","N_f_SP_group_MoMoK","RG_Wolff_bio","DBH_cm","CCS_r_m","rem_reason"
"80189",22,-9,0,1970,171,151,6,"rbu","2",1,314,81,898,130,2012,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",89.8,17.84,"single LT excluded during inventory status sorting"
"80228",2,-9,0,2206,252,88,5,"pa","2",1,394,97,1030,130,2012,"HBI",11,114,"Pa","Pappel","Populus spp.","Populus","spp.","031.002.999.DL","LB",211,30011,"PA","WAHR","Populus spp.",19,"bu","aLn","shw","BI","BI","aLB","BI",103,17.84,"single LT excluded during inventory status sorting"
"80230",7,-9,0,1876,107,145,5,"tei","2",1,-9,-9,785,130,2012,"HBI",38,116,"TEi","Trauben-Eiche","Quercus petraea","Quercus","petraea","036.004.011","LB",48,30013,"EI","WAHR","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI",78.5,17.84,"single LT excluded during inventory status sorting"
"80230",8,-9,0,2536,88,200,5,"tei","1",1,371,126,1053,130,2012,"HBI",38,116,"TEi","Trauben-Eiche","Quercus petraea","Quercus","petraea","036.004.011","LB",48,30013,"EI","WAHR","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI",105.3,17.84,"single LT excluded during inventory status sorting"
"100015",1,-9,0,300,57,54,1,"rbu","2",1,223,114,363,130,2011,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",36.3,17.84,"LT cirlce excluded during inventory status sorting"
"100015",6,-9,0,1083,45,64,1,"tei","2",1,225,109,383,130,2011,"HBI",38,116,"TEi","Trauben-Eiche","Quercus petraea","Quercus","petraea","036.004.011","LB",48,30013,"EI","WAHR","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI",38.3,17.84,"LT cirlce excluded during inventory status sorting"
"100015",16,-9,0,1164,156,54,1,"rbu","2",1,183,87,329,130,2011,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",32.9,17.84,"LT cirlce excluded during inventory status sorting"
"100089",5,-9,0,1244,362,73,5,"tei","1",1,202,138,322,130,2011,"HBI",38,116,"TEi","Trauben-Eiche","Quercus petraea","Quercus","petraea","036.004.011","LB",48,30013,"EI","WAHR","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI",32.2,17.84,"LT cirlce excluded during inventory status sorting"
"100089",18,-9,0,802,198,73,5,"tei","2",1,-9,-9,301,130,2011,"HBI",38,116,"TEi","Trauben-Eiche","Quercus petraea","Quercus","petraea","036.004.011","LB",48,30013,"EI","WAHR","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI",30.1,17.84,"LT cirlce excluded during inventory status sorting"
"100089",19,-9,0,812,190,73,5,"tei","2",1,-9,-9,341,130,2011,"HBI",38,116,"TEi","Trauben-Eiche","Quercus petraea","Quercus","petraea","036.004.011","LB",48,30013,"EI","WAHR","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI",34.1,17.84,"LT cirlce excluded during inventory status sorting"
"10012",7,-9,0,684,177,131,1,"gki","0",3,290,195,449,130,2012,"HBI",28,211,"GKi","Gewoehnliche Kiefer","Pinus sylvestris","Pinus","sylvestris","026.007.007","NB",134,30015,"KI","WAHR","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI",44.9,17.84,"LT cirlce excluded during inventory status sorting"
"10012",15,-9,0,697,391,131,1,"gki","0",3,256,177,383,150,2012,"HBI",28,211,"GKi","Gewoehnliche Kiefer","Pinus sylvestris","Pinus","sylvestris","026.007.007","NB",134,30015,"KI","WAHR","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI",38.4,17.84,"LT cirlce excluded during inventory status sorting"
"130075",17,-9,0,1125,334,45,5,"er","1",1,203,119,305,130,2012,"HBI",4,103,"Er","Erle","Alnus spp.","Alnus","spp.","034.002.999","LB",216,30011,"ERL","WAHR","Alnus spp.",28,"bu","aLn","shw","ERL","BI","ERL","BI",30.5,17.84,"LT cirlce excluded during inventory status sorting"
"140010",1,-9,0,175,317,28,1,"sbi","1",1,200,89,357,130,2012,"HBI",36,107,"SBi","Sand-Birke","Betula pendula","Betula","pendula","034.001.001","LB",10,30011,"BI","WAHR","Betula spp.",26,"bu","aLn","shw","BI","BI","BI","BI",35.7,17.84,"LT cirlce excluded during inventory status sorting"
