"plot_ID","CCS_nr","CCS_position","CCS_dist","CCS_RG_inv_status","CCS_max_dist_cm","inv_year","inv"
30502,4,"w",1000,1,373,2011,"HBI"
30503,1,"n",1000,1,297,2011,"HBI"
30503,2,"o",1000,1,491,2011,"HBI"
30503,3,"s",1000,1,478,2011,"HBI"
30503,4,"w",1000,1,403,2011,"HBI"
30504,1,"n",1000,1,412,2011,"HBI"
30504,2,"o",1000,1,482,2011,"HBI"
30504,3,"s",1000,1,391,2011,"HBI"
30504,4,"w",1000,1,402,2011,"HBI"
30505,1,"n",1000,1,498,2011,"HBI"
30505,2,"o",1000,1,484,2011,"HBI"
30505,3,"s",1000,1,184,2011,"HBI"
30505,4,"w",1000,1,371,2011,"HBI"
30506,1,"n",1000,1,461,2011,"HBI"
30506,2,"o",1000,1,345,2011,"HBI"
30506,3,"s",1000,1,421,2011,"HBI"
30506,4,"w",1000,1,403,2011,"HBI"
30507,1,"n",1000,1,278,2011,"HBI"
30507,2,"o",1000,1,433,2011,"HBI"
30507,3,"s",1000,1,433,2011,"HBI"
30507,4,"w",1000,1,306,2011,"HBI"
30508,1,"n",1000,1,432,2011,"HBI"
30508,2,"o",1000,1,432,2011,"HBI"
30508,3,"s",1000,1,443,2011,"HBI"
30508,4,"w",1000,1,401,2011,"HBI"
30509,1,"n",1000,1,119,2011,"HBI"
30509,2,"o",1000,1,180,2011,"HBI"
