"plot_ID","CCS_nr","plot_A_ha","inv_year","compartiment","B_t_ha","C_t_ha","N_t_ha"
"30618","4","0.00785398163397448","2011","ag","0","0","0"
"30618","4","0.00785398163397448","2011","bg","0","0","0"
"30618","4","0.00785398163397448","2011","total","0","0","0"
"30620","1","0.00785398163397448","2011","ag","0","0","0"
"30620","1","0.00785398163397448","2011","bg","0","0","0"
"30620","1","0.00785398163397448","2011","total","0","0","0"
"30620","3","0.00785398163397448","2011","ag","0","0","0"
"30620","3","0.00785398163397448","2011","bg","0","0","0"
"30620","3","0.00785398163397448","2011","total","0","0","0"
"30626","1","0.00785398163397448","2011","ag","0","0","0"
"30626","1","0.00785398163397448","2011","bg","0","0","0"
"30626","1","0.00785398163397448","2011","total","0","0","0"
"30626","4","0.00785398163397448","2011","ag","0","0","0"
"30626","4","0.00785398163397448","2011","bg","0","0","0"
"30626","4","0.00785398163397448","2011","total","0","0","0"
"30634","4","0.00785398163397448","2011","ag","0","0","0"
"30634","4","0.00785398163397448","2011","bg","0","0","0"
"30634","4","0.00785398163397448","2011","total","0","0","0"
"30637","1","0.00785398163397448","2011","ag","0","0","0"
"30637","1","0.00785398163397448","2011","bg","0","0","0"
"30637","1","0.00785398163397448","2011","total","0","0","0"
"30640","1","0.00785398163397448","2011","ag","0","0","0"
"30640","1","0.00785398163397448","2011","bg","0","0","0"
"30640","1","0.00785398163397448","2011","total","0","0","0"
"30640","2","0.00785398163397448","2011","ag","0","0","0"
"30640","2","0.00785398163397448","2011","bg","0","0","0"
"30640","2","0.00785398163397448","2011","total","0","0","0"
"30640","4","0.00785398163397448","2011","ag","0","0","0"
"30640","4","0.00785398163397448","2011","bg","0","0","0"
"30640","4","0.00785398163397448","2011","total","0","0","0"
"30644","1","0.00785398163397448","2011","ag","0","0","0"
"30644","1","0.00785398163397448","2011","bg","0","0","0"
"30644","1","0.00785398163397448","2011","total","0","0","0"
"30644","2","0.00785398163397448","2011","ag","0","0","0"
"30644","2","0.00785398163397448","2011","bg","0","0","0"
"30644","2","0.00785398163397448","2011","total","0","0","0"
"30644","3","0.00785398163397448","2011","ag","0","0","0"
"30644","3","0.00785398163397448","2011","bg","0","0","0"
"30644","3","0.00785398163397448","2011","total","0","0","0"
"30644","4","0.00785398163397448","2011","ag","0","0","0"
"30644","4","0.00785398163397448","2011","bg","0","0","0"
"30644","4","0.00785398163397448","2011","total","0","0","0"
"30649","2","0.00785398163397448","2011","ag","0","0","0"
"30649","2","0.00785398163397448","2011","bg","0","0","0"
"30649","2","0.00785398163397448","2011","total","0","0","0"
"30649","3","0.00785398163397448","2011","ag","0","0","0"
"30649","3","0.00785398163397448","2011","bg","0","0","0"
"30649","3","0.00785398163397448","2011","total","0","0","0"
"30649","4","0.00785398163397448","2011","ag","0","0","0"
"30649","4","0.00785398163397448","2011","bg","0","0","0"
"30649","4","0.00785398163397448","2011","total","0","0","0"
"30652","1","0.00785398163397448","2011","ag","0","0","0"
"30652","1","0.00785398163397448","2011","bg","0","0","0"
"30652","1","0.00785398163397448","2011","total","0","0","0"
"30652","3","0.00785398163397448","2011","ag","0","0","0"
"30652","3","0.00785398163397448","2011","bg","0","0","0"
"30652","3","0.00785398163397448","2011","total","0","0","0"
"50001","1","0.00785398163397448","2011","ag","0","0","0"
"50001","1","0.00785398163397448","2011","bg","0","0","0"
"50001","1","0.00785398163397448","2011","total","0","0","0"
"50001","2","0.00785398163397448","2011","ag","0","0","0"
"50001","2","0.00785398163397448","2011","bg","0","0","0"
"50001","2","0.00785398163397448","2011","total","0","0","0"
"50001","3","0.00785398163397448","2011","ag","0","0","0"
"50001","3","0.00785398163397448","2011","bg","0","0","0"
"50001","3","0.00785398163397448","2011","total","0","0","0"
"50001","4","0.00785398163397448","2011","ag","0","0","0"
"50001","4","0.00785398163397448","2011","bg","0","0","0"
"50001","4","0.00785398163397448","2011","total","0","0","0"
"50002","1","0.00785398163397448","2011","ag","0","0","0"
"50002","1","0.00785398163397448","2011","bg","0","0","0"
"50002","1","0.00785398163397448","2011","total","0","0","0"
"50002","2","0.00785398163397448","2011","ag","0","0","0"
"50002","2","0.00785398163397448","2011","bg","0","0","0"
"50002","2","0.00785398163397448","2011","total","0","0","0"
"50002","3","0.00785398163397448","2011","ag","0","0","0"
"50002","3","0.00785398163397448","2011","bg","0","0","0"
"50002","3","0.00785398163397448","2011","total","0","0","0"
"50002","4","0.00785398163397448","2011","ag","0","0","0"
"50002","4","0.00785398163397448","2011","bg","0","0","0"
"50002","4","0.00785398163397448","2011","total","0","0","0"
"50006","1","0.00785398163397448","2011","ag","0","0","0"
"50006","1","0.00785398163397448","2011","bg","0","0","0"
"50006","1","0.00785398163397448","2011","total","0","0","0"
"50006","3","0.00785398163397448","2011","ag","0","0","0"
"50006","3","0.00785398163397448","2011","bg","0","0","0"
"50006","3","0.00785398163397448","2011","total","0","0","0"
"50008","1","0.00785398163397448","2012","ag","0","0","0"
"50008","1","0.00785398163397448","2012","bg","0","0","0"
"50008","1","0.00785398163397448","2012","total","0","0","0"
"50008","4","0.00785398163397448","2012","ag","0","0","0"
"50008","4","0.00785398163397448","2012","bg","0","0","0"
"50008","4","0.00785398163397448","2012","total","0","0","0"
"50011","3","0.00785398163397448","2012","ag","0","0","0"
"50011","3","0.00785398163397448","2012","bg","0","0","0"
"50011","3","0.00785398163397448","2012","total","0","0","0"
"50011","4","0.00785398163397448","2012","ag","0","0","0"
"50011","4","0.00785398163397448","2012","bg","0","0","0"
"50011","4","0.00785398163397448","2012","total","0","0","0"
"50013","3","0.00785398163397448","2011","ag","0","0","0"
"50013","3","0.00785398163397448","2011","bg","0","0","0"
"50013","3","0.00785398163397448","2011","total","0","0","0"
"50014","2","0.00785398163397448","2011","ag","0","0","0"
"50014","2","0.00785398163397448","2011","bg","0","0","0"
"50014","2","0.00785398163397448","2011","total","0","0","0"
"50014","3","0.00785398163397448","2011","ag","0","0","0"
"50014","3","0.00785398163397448","2011","bg","0","0","0"
"50014","3","0.00785398163397448","2011","total","0","0","0"
"50019","1","0.00785398163397448","2012","ag","0","0","0"
"50019","1","0.00785398163397448","2012","bg","0","0","0"
"50019","1","0.00785398163397448","2012","total","0","0","0"
"50019","3","0.00785398163397448","2012","ag","0","0","0"
"50019","3","0.00785398163397448","2012","bg","0","0","0"
"50019","3","0.00785398163397448","2012","total","0","0","0"
"50019","4","0.00785398163397448","2012","ag","0","0","0"
"50019","4","0.00785398163397448","2012","bg","0","0","0"
"50019","4","0.00785398163397448","2012","total","0","0","0"
"50024","4","0.00785398163397448","2011","ag","0","0","0"
"50024","4","0.00785398163397448","2011","bg","0","0","0"
"50024","4","0.00785398163397448","2011","total","0","0","0"
"50028","1","0.00785398163397448","2012","ag","0","0","0"
"50028","1","0.00785398163397448","2012","bg","0","0","0"
"50028","1","0.00785398163397448","2012","total","0","0","0"
