"bfhnr_2","bfhnr_1","erhebjahr_1","erhebjahr_2","bestandestyp_2","besttyp_2d","humusform_2","agghu_typ_2","eu_humusform","bodentyp_2","bodentypgr_2","bodenklasse_2","podsoligkeit_2","gruendigkeit_2","wrb","min_org"
60078,6078,1992,2007,7,"Nadelholzreiche Laubholzmischbestände (> 30 % Nadelholz)","MUO","MU",-9,"BB","BB","B","p2",0,"-1/-1/-1/-1/-1","min"
60079,6079,1992,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT",-9,"BB","BB","B","p1",0,"-1/-1/-1/-1/-1","min"
60080,6080,1992,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT",-9,"LL","LL","L","p1",0,"-1/-1/-1/-1/-1","min"
60081,6081,1992,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOM","MOM",2,"BB-LL","LL","L","p1",0,"-1/LV/-1/-1/-1","min"
60082,6082,1992,2006,4,"Buchen(rein)bestand (>= 70 % Buche)","MOA","MOT",-9,"BB","BB","B","p1",0,"-1/-1/-1/-1/-1","min"
60083,6083,1992,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",-9,"LL-BB","BB","B","p1",0,"-1/-1/-1/-1/-1","min"
60084,6084,1992,2008,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",-9,"BB","BB","B","p1",0,"-1/-1/-1/-1/-1","min"
60085,6085,1992,2006,6,"Laubholzreiche Nadelmischbestände (> 30 % Laubholz)","MUO","MU",-9,"RZ","RZ","R","p1",0,"-1/-1/-1/-1/-1","min"
60086,6086,1992,2007,7,"Nadelholzreiche Laubholzmischbestände (> 30 % Nadelholz)","MUO","MU",1,"BB","BB","B","p3",0,"-1/CM/-1/-1/-1","min"
60087,6087,1992,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MRR","MR",-9,"SS","SS","S","p3",0,"-1/-1/-1/-1/-1","min"
60088,6088,1992,2007,6,"Laubholzreiche Nadelmischbestände (> 30 % Laubholz)","MOR","MOT",-9,"SS-LL","LL","L","p2",0,"-1/-1/-1/-1/-1","min"
60089,6089,1993,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",-9,"SS","SS","S","p1",0,"-1/-1/-1/-1/-1","min"
60090,6090,1992,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MRA","MR",2,"BB","BB","B","p1",0,"-1/CM/-1/-1/-1","min"
60091,6091,1992,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",-9,"SS-LL","LL","L","p1",0,"-1/-1/-1/-1/-1","min"
60092,6092,1993,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",1,"SS-BB","BB","B","p1",0,"-1/CM/-1/-1/-1","min"
60093,6093,1993,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","ROR","RO",-9,"SG","SG","S","p3",0,"-1/-1/-1/-1/-1","min"
60094,6094,1992,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",1,"BB","BB","B","p3",0,"-1/CM/-1/-1/-1","min"
60095,6095,1992,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOA","MOT",-9,"BB","BB","B","p3",0,"-1/-1/-1/-1/-1","min"
60096,6096,1992,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOM","MOM",2,"BB","BB","B","p1",0,"-1/CM/-1/-1/-1","min"
60097,6097,1992,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT",-9,"BB","BB","B","p1",0,"-1/-1/-1/-1/-1","min"
60098,6098,1992,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MRA","MR",-9,"SS-BB","BB","B","p2",0,"-1/-1/-1/-1/-1","min"
60099,6099,1993,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOM","MOM",2,"SS-LL","LL","L","p1",0,"-1/CM/-1/-1/-1","min"
60100,6100,1992,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",-9,"BB","BB","B","p1",0,"-1/-1/-1/-1/-1","min"
60101,6101,1992,2008,7,"Nadelholzreiche Laubholzmischbestände (> 30 % Nadelholz)","ROR","RO",-9,"SS","SS","S","p1",0,"-1/-1/-1/-1/-1","min"
60102,6102,1992,2008,6,"Laubholzreiche Nadelmischbestände (> 30 % Laubholz)","MOM","MOM",-9,"SS-LL","LL","L","p2",0,"-1/-1/-1/-1/-1","min"
60103,6103,1992,2006,6,"Laubholzreiche Nadelmischbestände (> 30 % Laubholz)","MOR","MOT",-9,"PP-BB","BB","B","-9",0,"-1/-1/-1/-1/-1","min"
60104,6104,1993,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",1,"SS","SS","S","p1",0,"-1/ST/-1/-1/-1","min"
60105,6105,1992,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOM","MOM",2,"SS-LL","LL","L","p1",0,"-1/ST/-1/-1/-1","min"
60106,6106,1992,2008,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",-9,"SS-LL","LL","L","p1",0,"-1/-1/-1/-1/-1","min"
60107,6107,1992,2008,7,"Nadelholzreiche Laubholzmischbestände (> 30 % Nadelholz)","MUO","MU",-9,"LL","LL","L","p1",0,"-1/-1/-1/-1/-1","min"
60108,6108,1992,2008,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",-9,"LL","LL","L","p1",0,"-1/-1/-1/-1/-1","min"
60109,6109,1992,2006,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MUO","MU",-9,"BB","BB","B","p1",0,"-1/-1/-1/-1/-1","min"
60110,6110,1992,2008,-1,"Merkmal wurde nicht erhoben. Obl: Fehler; Fak: Warnung.","MRA","MR",-9,"LL-BB","BB","B","p1",0,"-1/-1/-1/-1/-1","min"
60111,6111,1992,2006,4,"Buchen(rein)bestand (>= 70 % Buche)","MOM","MOM",-9,"SS-LL","LL","L","p1",0,"-1/-1/-1/-1/-1","min"
60112,6112,1992,2006,7,"Nadelholzreiche Laubholzmischbestände (> 30 % Nadelholz)","MOM","MOM",-9,"SS-LL","LL","L","p1",0,"-1/-1/-1/-1/-1","min"
60113,6113,1992,2007,7,"Nadelholzreiche Laubholzmischbestände (> 30 % Nadelholz)","MUO","MU",1,"YK","YK","Y","p1",0,"-1/CM/-1/-1/-1","min"
60114,6114,1992,2006,-1,"Merkmal wurde nicht erhoben. Obl: Fehler; Fak: Warnung.","MUO","MU",-9,"LL","LL","L","p1",0,"-1/-1/-1/-1/-1","min"
60115,6115,1992,2006,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",-9,"BB","BB","B","p1",0,"-1/-1/-1/-1/-1","min"
60116,6116,1992,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MU","MU",1,"LL","LL","L","p1",0,"-1/LV/-1/-1/-1","min"
60117,6117,1992,2006,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","ROR","RO",-9,"BB-PP","PP","P","-9",0,"-1/-1/-1/-1/-1","min"
60118,6118,1992,2006,5,"Eichen(rein)bestand (>= 70 % Eiche)","MUO","MU",-9,"LL","LL","L","p1",0,"-1/-1/-1/-1/-1","min"
60119,6119,1992,2007,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","MOM","MOM",2,"BB-LL","LL","L","p1",0,"-1/LV/-1/-1/-1","min"
60120,6120,1992,2006,7,"Nadelholzreiche Laubholzmischbestände (> 30 % Nadelholz)","MOM","MOM",-9,"LL","LL","L","p1",0,"-1/-1/-1/-1/-1","min"
60121,6121,1992,2006,4,"Buchen(rein)bestand (>= 70 % Buche)","MOA","MOT",-9,"SS-LL","LL","L","p1",0,"-1/-1/-1/-1/-1","min"
60122,6122,1992,2007,6,"Laubholzreiche Nadelmischbestände (> 30 % Laubholz)","MOM","MOM",-9,"LF","LF","L","p2",0,"-1/-1/-1/-1/-1","min"
60123,6123,1992,2008,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",-9,"BB","BB","B","p2",0,"-1/-1/-1/-1/-1","min"
60124,6124,1992,2006,-1,"Merkmal wurde nicht erhoben. Obl: Fehler; Fak: Warnung.","MUO","MU",-9,"LL","LL","L","p1",0,"-1/-1/-1/-1/-1","min"
60125,6125,1992,2006,8,"sonstige Laubbaumarten (>= 70 % sonstiges Laubholz)","MUT","MU",-9,"BB","BB","B","p1",0,"-1/-1/-1/-1/-1","min"
60126,6126,1992,2006,5,"Eichen(rein)bestand (>= 70 % Eiche)","MUO","MU",-9,"BB-RQ","RQ","R","p1",0,"-1/-1/-1/-1/-1","min"
60127,6127,1992,2006,-1,"Merkmal wurde nicht erhoben. Obl: Fehler; Fak: Warnung.","MOM","MOM",-9,"PP-BB","BB","B","-9",0,"-1/-1/-1/-1/-1","min"
60128,6128,1992,2006,7,"Nadelholzreiche Laubholzmischbestände (> 30 % Nadelholz)","MOA","MOT",-9,"BB-RN","RN","R","p1",0,"-1/-1/-1/-1/-1","min"
60129,6129,1992,2006,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",-9,"LL","LL","L","p1",0,"-1/-1/-1/-1/-1","min"
60130,6130,1992,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MUO","MU",1,"SS-LL","LL","L","p1",0,"-1/LV/-1/-1/-1","min"
60131,6131,1992,2006,4,"Buchen(rein)bestand (>= 70 % Buche)","MOM","MOM",-9,"LF-BB","BB","B","p1",0,"-1/-1/-1/-1/-1","min"
60132,6132,1992,2006,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",-9,"LL","LL","L","p1",0,"-1/-1/-1/-1/-1","min"
60133,6133,1992,2006,5,"Eichen(rein)bestand (>= 70 % Eiche)","MUO","MU",-9,"LL","LL","L","p1",0,"-1/-1/-1/-1/-1","min"
60134,6134,1992,2006,8,"sonstige Laubbaumarten (>= 70 % sonstiges Laubholz)","MUT","MU",-9,"SS","SS","S","p1",0,"-1/-1/-1/-1/-1","min"
60135,6135,1992,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",1,"LL","LL","L","p1",0,"-1/LV/-1/-1/-1","min"
60136,6136,1992,2006,4,"Buchen(rein)bestand (>= 70 % Buche)","MOM","MOM",-9,"BB","BB","B","p1",0,"-1/-1/-1/-1/-1","min"
60137,6137,1992,2008,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",-9,"LL","LL","L","p1",0,"-1/-1/-1/-1/-1","min"
60138,6138,1992,2008,1,"Fichten(rein)bestand (>= 70 % Fichte)","MRR","MR",-9,"LL-BB","BB","B","p1",0,"-1/-1/-1/-1/-1","min"
60139,6139,1992,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT",-9,"SS-LL","LL","L","p1",0,"-1/-1/-1/-1/-1","min"
70001,7001,1989,2006,6,"Laubholzreiche Nadelmischbestände (> 30 % Laubholz)","MOA","MOT",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70002,7002,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOR","MOT",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70003,7003,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70004,7004,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOR","MOT",-2,"BB-SS","SS","S","p2",NA,"-1/-1/-1/-1/-1","min"
70005,7005,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOR","MOT",-2,"SS","SS","S","p2",NA,"-1/-1/-1/-1/-1","min"
70006,7006,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOR","MOT",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70007,7007,1989,2006,4,"Buchen(rein)bestand (>= 70 % Buche)","MOR","MOT",-2,"SS-LL","LL","L","p1",NA,"-1/-1/-1/-1/-1","min"
70008,7008,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOR","MOT",-2,"BB","BB","B","p2",NA,"-1/-1/-1/-1/-1","min"
70009,7009,1989,2006,8,"sonstige Laubbaumarten (>= 70 % sonstiges Laubholz)","MUT","MU",-2,"GG-SS","SS","S","p1",NA,"-1/-1/-1/-1/-1","min"
70010,7010,1989,2006,4,"Buchen(rein)bestand (>= 70 % Buche)","MOA","MOT",-2,"LL","LL","L","p1",NA,"-1/-1/-1/-1/-1","min"
70011,7011,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOM","MOM",2,"BB","BB","B","p1",NA,"116/CM/hcm;pan;/an/hu;eu,h;sk","min"
70012,7012,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT",-2,"BB-LL","LL","L","p1",NA,"-1/-1/-1/-1/-1","min"
70013,7013,1989,2006,5,"Eichen(rein)bestand (>= 70 % Eiche)","MUO","MU",-2,"SS-BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70014,7014,1989,2006,4,"Buchen(rein)bestand (>= 70 % Buche)","MOM","MOM",2,"BB","BB","B","p1",NA,"147/CM/hcm/ha/co;au;dy,p","min"
70015,7015,1989,2006,5,"Eichen(rein)bestand (>= 70 % Eiche)","MUT","MU",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70016,7016,1989,2006,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70017,7017,1989,2006,5,"Eichen(rein)bestand (>= 70 % Eiche)","MOM","MOM",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70018,7018,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70019,7019,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70020,7020,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70021,7021,1989,2006,4,"Buchen(rein)bestand (>= 70 % Buche)","MOR","MOT",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70022,7022,1989,2006,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",1,"BB","BB","B","p1",NA,"147/AN/pan/ha/ed;;;;","min"
70023,7023,1989,2006,91,"Laubbestand (nicht näher spezifizierbar)","MUO","MU",1,"BB","BB","B","p1",NA,"193/AN/pvi;mtf;/vi/ne;;;;","min"
70024,7024,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT",-2,"SS-BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70025,7025,1989,2006,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70026,7026,1989,2006,4,"Buchen(rein)bestand (>= 70 % Buche)","MUT","MU",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70027,7027,1989,2006,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT",-2,"BB","BB","B","p2",NA,"-1/-1/-1/-1/-1","min"
70028,7028,1989,2006,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","MRA","MR",-2,"BB","BB","B","p3",NA,"-1/-1/-1/-1/-1","min"
70029,7029,1989,2005,8,"sonstige Laubbaumarten (>= 70 % sonstiges Laubholz)","MRR","MR",-2,"SS","SS","S","p1",NA,"-1/-1/-1/-1/-1","min"
70030,7030,1989,2006,6,"Laubholzreiche Nadelmischbestände (> 30 % Laubholz)","MOR","MOT",-2,"SS-BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70031,7031,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT",-2,"SS-LL","LL","L","p1",NA,"-1/-1/-1/-1/-1","min"
70032,7032,1989,2006,8,"sonstige Laubbaumarten (>= 70 % sonstiges Laubholz)","MUT","MU",1,"RN","RN","R","p1",NA,"122/LP/hmo/mo/br;eu,h;sk","min"
70033,7033,1989,2006,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","MOR","MOT",-2,"SS-BB","BB","B","p2",NA,"-1/-1/-1/-1/-1","min"
70034,7034,1989,2006,5,"Eichen(rein)bestand (>= 70 % Eiche)","MRA","MR",-2,"BB","BB","B","p2",NA,"-1/-1/-1/-1/-1","min"
70035,7035,1989,2006,6,"Laubholzreiche Nadelmischbestände (> 30 % Laubholz)","MUO","MU",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70036,7036,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOF","MOF",-2,"BB-GG","GG","G","p1",NA,"-1/-1/-1/-1/-1","min"
70037,7037,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOR","MOT",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70038,7038,1989,2006,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70039,7039,1989,2005,92,"Nadelbestand (nicht näher spezifizierbar)","MUO","MU",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70040,7040,1989,2007,5,"Eichen(rein)bestand (>= 70 % Eiche)","MOA","MOT",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70041,7041,1989,2006,91,"Laubbestand (nicht näher spezifizierbar)","MUO","MU",-2,"BB-SS","SS","S","p1",NA,"-1/-1/-1/-1/-1","min"
70042,7042,1989,2006,7,"Nadelholzreiche Laubholzmischbestände (> 30 % Nadelholz)","MOA","MOT",-2,"SS-BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70043,7043,1989,2006,5,"Eichen(rein)bestand (>= 70 % Eiche)","HMO","RO",-2,"BB-RN","RN","R","p1",NA,"-1/-1/-1/-1/-1","min"
70044,7044,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOR","MOT",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70045,7045,1989,2006,5,"Eichen(rein)bestand (>= 70 % Eiche)","MOR","MOT",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70046,7046,1989,2006,7,"Nadelholzreiche Laubholzmischbestände (> 30 % Nadelholz)","MOA","MOT",2,"BB","BB","B","p1",NA,"147/CM/hcm/le/au;dy,o;sk","min"
70047,7047,1989,2006,-1,"Merkmal wurde nicht erhoben. Obl: Fehler; Fak: Warnung.","MOR","MOT",2,"BB","BB","B","p2",NA,"147/CM/hcm/ha/co;au;dy,h","min"
70048,7048,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOR","MOT",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70049,7049,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MUO","MU",-2,"SS-BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70050,7050,1989,2006,91,"Laubbestand (nicht näher spezifizierbar)","MUT","MU",-2,"LL-SS","SS","S","p1",NA,"-1/-1/-1/-1/-1","min"
70051,7051,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOR","MOT",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70052,7052,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MUO","MU",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70053,7053,1989,2006,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70054,7054,1989,2005,7,"Nadelholzreiche Laubholzmischbestände (> 30 % Nadelholz)","MOA","MOT",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70055,7055,1989,2006,6,"Laubholzreiche Nadelmischbestände (> 30 % Laubholz)","MOR","MOT",-2,"BB","BB","B","p2",NA,"-1/-1/-1/-1/-1","min"
70056,7056,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOR","MOT",-2,"SS","SS","S","p3",NA,"-1/-1/-1/-1/-1","min"
70057,7057,1989,2006,5,"Eichen(rein)bestand (>= 70 % Eiche)","GMO","MOT",-2,"SS","SS","S","p1",NA,"-1/-1/-1/-1/-1","min"
70058,7058,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOR","MOT",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70059,7059,1989,2005,6,"Laubholzreiche Nadelmischbestände (> 30 % Laubholz)","MOA","MOT",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70060,7060,1989,2006,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT",-2,"BB-SS","SS","S","p1",NA,"-1/-1/-1/-1/-1","min"
70061,7061,1989,2006,91,"Laubbestand (nicht näher spezifizierbar)","MUT","MU",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70062,7062,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","GMO","MOT",-2,"BB-PP","PP","P","p1",NA,"-1/-1/-1/-1/-1","min"
70063,7063,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOR","MOT",-2,"LL-BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70064,7064,1989,2006,4,"Buchen(rein)bestand (>= 70 % Buche)","MOT","MOT",2,"BB","BB","B","p1",NA,"147/CM/hcm/le/au;dy,h;sk","min"
70065,7065,1989,2006,5,"Eichen(rein)bestand (>= 70 % Eiche)","MOR","MOT",-2,"BB-RN","RN","R","p1",NA,"-1/-1/-1/-1/-1","min"
70066,7066,1989,2006,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","ROR","RO",3,"SS-PP","PP","P","p1",NA,"147/CM/hcm;pgl;/st/au;dy;rp;s","min"
70067,7067,1989,2006,4,"Buchen(rein)bestand (>= 70 % Buche)","MOR","MOT",-2,"BB-PP","PP","P","p1",NA,"-1/-1/-1/-1/-1","min"
70068,7068,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOR","MOT",-2,"SS-BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70069,7069,1989,2006,8,"sonstige Laubbaumarten (>= 70 % sonstiges Laubholz)","MUO","MU",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70070,7070,1989,2006,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","MOA","MOT",-2,"BB-SS","SS","S","p1",NA,"-1/-1/-1/-1/-1","min"
70071,7071,1989,2006,91,"Laubbestand (nicht näher spezifizierbar)","MOA","MOT",-2,"BB-DD","DD","D","p1",NA,"-1/-1/-1/-1/-1","min"
70072,7072,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOR","MOT",-2,"BB-PP","PP","P","p1",NA,"-1/-1/-1/-1/-1","min"
70073,7073,1989,2006,91,"Laubbestand (nicht näher spezifizierbar)","MOM","MOM",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70074,7074,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOR","MOT",-2,"BB","BB","B","p3",NA,"-1/-1/-1/-1/-1","min"
70075,7075,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOR","MOT",-2,"BB","BB","B","p3",NA,"-1/-1/-1/-1/-1","min"
70076,7076,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MRR","MR",2,"BB-PP","PP","P","p1",NA,"119/PZ/hab;hsd;hcm/ab/sk;;;;","min"
70077,7077,1989,2006,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","MUO","MU",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70078,7078,1989,2006,5,"Eichen(rein)bestand (>= 70 % Eiche)","MUO","MU",2,"BB","BB","B","p1",NA,"153/CM/hcm/ha/au;dy,o;;;","min"
70079,7079,1989,2006,6,"Laubholzreiche Nadelmischbestände (> 30 % Laubholz)","MOR","MOT",-2,"BB","BB","B","p2",NA,"-1/-1/-1/-1/-1","min"
70080,7080,1989,2006,8,"sonstige Laubbaumarten (>= 70 % sonstiges Laubholz)","MOA","MOT",-2,"BB-DD","DD","D","p1",NA,"-1/-1/-1/-1/-1","min"
70081,7081,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOR","MOT",-2,"BB-SS","SS","S","p1",NA,"-1/-1/-1/-1/-1","min"
70082,7082,1989,2006,4,"Buchen(rein)bestand (>= 70 % Buche)","MOR","MOT",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70083,7083,1989,2006,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","GMO","MOT",-2,"BB-SS","SS","S","p1",NA,"-1/-1/-1/-1/-1","min"
70084,7084,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOR","MOT",-2,"BB","BB","B","p3",NA,"-1/-1/-1/-1/-1","min"
70085,7085,1989,2006,6,"Laubholzreiche Nadelmischbestände (> 30 % Laubholz)","MOR","MOT",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70086,7086,1989,2006,5,"Eichen(rein)bestand (>= 70 % Eiche)","MUO","MU",1,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70087,7087,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOR","MOT",-2,"BB-SS","SS","S","p3",NA,"-1/-1/-1/-1/-1","min"
70088,7088,1989,2006,91,"Laubbestand (nicht näher spezifizierbar)","MOA","MOT",-2,"SS-BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70089,7089,1989,2006,4,"Buchen(rein)bestand (>= 70 % Buche)","MOR","MOT",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70090,7090,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOM","MOM",2,"BB","BB","B","p1",NA,"147/CM/hcm;pcc;/ha/hu;eu,h;sk","min"
70091,7091,1989,2006,5,"Eichen(rein)bestand (>= 70 % Eiche)","MOR","MOT",-2,"BB","BB","B","p3",NA,"-1/-1/-1/-1/-1","min"
70092,7092,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOR","MOT",-2,"AB-GG","GG","G","p1",NA,"-1/-1/-1/-1/-1","min"
70093,7093,1989,2006,5,"Eichen(rein)bestand (>= 70 % Eiche)","MOA","MOT",2,"BB-RN","RN","R","p1",NA,"123/LP/hum/um/hd;;;;","min"
70094,7094,1989,2006,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",1,"BB-SS","SS","S","p1",NA,"-1/-1/-1/-1/-1","min"
70095,7095,1989,2006,91,"Laubbestand (nicht näher spezifizierbar)","MOR","MOT",-2,"BB","BB","B","p1",NA,"-1/-1/-1/-1/-1","min"
70096,7096,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOR","MOT",-2,"GG","GG","G","p1",NA,"-1/-1/-1/-1/-1","min"
70097,7097,1989,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MUO","MU",-2,"SS","SS","S","p1",NA,"-1/-1/-1/-1/-1","min"
70098,7098,1989,2006,91,"Laubbestand (nicht näher spezifizierbar)","MUO","MU",-2,"DD","DD","D","p1",NA,"-1/-1/-1/-1/-1","min"
