"plot_ID","e_ID","inv_year","CCS_r_m","inter_stat","area_m2","stand"
50010,0,2012,12.62,"0",414.805175918178,"A"
50010,1,2012,5.64,"partly intersecting",12.4386128748432,"B"
50010,0,2012,5.64,"0",87.4485371474895,"A"
50024,1,2011,17.84,"partly intersecting",40.739780375892,"B"
50024,0,2011,17.84,"0",958.664290538164,"A"
50024,1,2011,12.62,"partly intersecting",20.7431172492219,"B"
50024,0,2011,12.62,"0",479.3721629183,"A"
50024,1,2011,5.64,"partly intersecting",4.3890133384005,"B"
50024,0,2011,5.64,"0",95.4981366839323,"A"
50025,1,2011,17.84,"partly intersecting",499.125184798229,"B"
50025,0,2011,17.84,"0",500.278886115827,"A"
50025,1,2011,12.62,"partly intersecting",249.649576445082,"B"
50025,0,2011,12.62,"0",250.46570372244,"A"
50025,1,2011,5.64,"partly intersecting",49.7612074262098,"B"
50025,0,2011,5.64,"0",50.125942596123,"A"
50036,1,2011,17.84,"partly intersecting",499.338722836883,"B"
50036,0,2011,17.84,"0",500.065348077172,"A"
50036,1,2011,12.62,"partly intersecting",249.800633062112,"B"
50036,0,2011,12.62,"0",250.31464710541,"A"
50036,1,2011,5.64,"partly intersecting",49.8287160886543,"B"
50036,0,2011,5.64,"0",50.0584339336784,"A"
50041,1,2012,17.84,"partly intersecting",499.16712054136,"B"
50041,0,2012,17.84,"0",500.236950372696,"A"
50041,1,2012,12.62,"partly intersecting",249.679241752162,"B"
50041,0,2012,12.62,"0",250.43603841536,"A"
50041,1,2012,5.64,"partly intersecting",49.7744651387244,"B"
50041,0,2012,5.64,"0",50.1126848836084,"A"
50045,1,2011,17.84,"partly intersecting",499.339185160219,"B"
50045,0,2011,17.84,"0",500.064885753837,"A"
50045,1,2011,12.62,"partly intersecting",249.800960109225,"B"
50045,0,2011,12.62,"0",250.314320058297,"A"
50045,1,2011,5.64,"partly intersecting",49.8288622491708,"B"
50045,0,2011,5.64,"0",50.0582877731619,"A"
50047,1,2012,17.84,"partly intersecting",499.051582574405,"B"
50047,0,2012,17.84,"0",500.352488339651,"A"
50047,1,2012,12.62,"partly intersecting",249.597510297959,"B"
50047,0,2012,12.62,"0",250.517769869563,"A"
50047,1,2012,5.64,"partly intersecting",49.7379385617273,"B"
50047,0,2012,5.64,"0",50.1492114606055,"A"
50048,1,2012,17.84,"partly intersecting",499.003283592305,"B"
50048,0,2012,17.84,"0",500.400787321751,"A"
50048,1,2012,12.62,"partly intersecting",249.563343641339,"B"
50048,0,2012,12.62,"0",250.551936526183,"A"
50048,1,2012,5.64,"partly intersecting",49.722669152588,"B"
50048,0,2012,5.64,"0",50.1644808697448,"A"
50050,1,2012,17.84,"partly intersecting",499.634811012979,"B"
50050,0,2012,17.84,"0",499.769259901077,"A"
50050,1,2012,12.62,"partly intersecting",250.010085572332,"B"
50050,0,2012,12.62,"0",250.10519459519,"A"
50050,1,2012,5.64,"partly intersecting",49.92232244029,"B"
50050,0,2012,5.64,"0",49.9648275820427,"A"
50052,1,2012,17.84,"partly intersecting",338.631427946361,"B"
50052,0,2012,17.84,"0",660.772642967694,"A"
50052,1,2012,12.62,"partly intersecting",157.513344833134,"B"
50052,0,2012,12.62,"0",342.601935334388,"A"
50052,1,2012,5.64,"partly intersecting",21.8928087866869,"B"
50052,0,2012,5.64,"0",77.9943412356458,"A"
50053,1,2012,17.84,"partly intersecting",498.990735724629,"B"
50053,0,2012,17.84,"0",500.413335189427,"A"
50053,1,2012,12.62,"partly intersecting",249.554467290999,"B"
50053,0,2012,12.62,"0",250.560812876523,"A"
50053,1,2012,5.64,"partly intersecting",49.7187022258116,"B"
50053,0,2012,5.64,"0",50.1684477965211,"A"
50056,1,2012,17.84,"partly intersecting",499.283081972746,"B"
50056,0,2012,17.84,"0",500.12098894131,"A"
50056,1,2012,12.62,"partly intersecting",249.761272764723,"B"
50056,0,2012,12.62,"0",250.354007402799,"A"
50056,1,2012,5.64,"partly intersecting",49.8111255912478,"B"
50056,0,2012,5.64,"0",50.076024431085,"A"
50058,1,2011,17.84,"partly intersecting",499.255616119245,"B"
50058,0,2011,17.84,"0",500.148454794811,"A"
50058,1,2011,12.62,"partly intersecting",249.74184344459,"B"
50058,0,2011,12.62,"0",250.373436722932,"A"
50058,1,2011,5.64,"partly intersecting",49.8024424402531,"B"
50058,0,2011,5.64,"0",50.0847075820797,"A"
50060,1,2012,17.84,"partly intersecting",499.428749415366,"B"
50060,0,2012,17.84,"0",499.97532149869,"A"
50060,1,2012,12.62,"partly intersecting",249.864317782989,"B"
50060,0,2012,12.62,"0",250.250962384533,"A"
50060,1,2012,5.64,"partly intersecting",49.8571774060671,"B"
50060,0,2012,5.64,"0",50.0299726162657,"A"
50061,1,2012,17.84,"partly intersecting",499.12506447085,"B"
50061,0,2012,17.84,"0",500.279006443206,"A"
50061,1,2012,12.62,"partly intersecting",249.649491325602,"B"
50061,0,2012,12.62,"0",250.465788841921,"A"
50061,1,2012,5.64,"partly intersecting",49.7611693854913,"B"
50061,0,2012,5.64,"0",50.1259806368415,"A"
50062,1,2012,17.84,"partly intersecting",112.984327362083,"B"
50062,0,2012,17.84,"0",886.419743551973,"A"
50062,1,2012,12.62,"partly intersecting",55.8169844688343,"B"
50062,0,2012,12.62,"0",444.298295698688,"A"
50062,1,2012,5.64,"partly intersecting",10.5427202174423,"B"
50062,0,2012,5.64,"0",89.3444298048904,"A"
50065,1,2012,17.84,"partly intersecting",499.19800979042,"B"
50065,0,2012,17.84,"0",500.206061123636,"A"
50065,1,2012,12.62,"partly intersecting",249.701092779243,"B"
50065,0,2012,12.62,"0",250.414187388279,"A"
50065,1,2012,5.64,"partly intersecting",49.7842305739652,"B"
50065,0,2012,5.64,"0",50.1029194483676,"A"
50068,1,2012,17.84,"partly intersecting",275.887322966316,"B"
50068,0,2012,17.84,"0",723.516747947739,"A"
50068,1,2012,12.62,"partly intersecting",134.67395280256,"B"
50068,0,2012,12.62,"0",365.441327364962,"A"
50068,1,2012,5.64,"partly intersecting",21.2350718954743,"B"
50068,0,2012,5.64,"0",78.6520781268584,"A"
50070,1,2011,17.84,"partly intersecting",499.679650493344,"B"
50070,0,2011,17.84,"0",499.724420420712,"A"
50070,1,2011,12.62,"partly intersecting",250.041804980527,"B"
50070,0,2011,12.62,"0",250.073475186995,"A"
50070,1,2011,5.64,"partly intersecting",49.9364981504501,"B"
50070,0,2011,5.64,"0",49.9506518718826,"A"
50083,1,2011,17.84,"partly intersecting",499.182269086198,"B"
50083,0,2011,17.84,"0",500.221801827858,"A"
50083,1,2011,12.62,"partly intersecting",249.689957819194,"B"
50083,0,2011,12.62,"0",250.425322348328,"A"
50083,1,2011,5.64,"partly intersecting",49.7792542526752,"B"
50083,0,2011,5.64,"0",50.1078957696575,"A"
50086,1,2011,17.84,"partly intersecting",499.066449620203,"B"
50086,0,2011,17.84,"0",500.337621293853,"A"
50086,1,2011,12.62,"partly intersecting",249.608028838658,"B"
50086,0,2011,12.62,"0",250.507251328864,"A"
50086,1,2011,5.64,"partly intersecting",49.7426435018852,"B"
50086,0,2011,5.64,"0",50.1445065204475,"A"
50090,1,2011,17.84,"partly intersecting",499.008199151618,"B"
50090,0,2011,17.84,"0",500.395871762438,"A"
50090,1,2011,12.62,"partly intersecting",249.566820903589,"B"
50090,0,2011,12.62,"0",250.548459263933,"A"
50090,1,2011,5.64,"partly intersecting",49.7242231747028,"B"
50090,0,2011,5.64,"0",50.1629268476299,"A"
50092,1,2011,17.84,"partly intersecting",499.093343253707,"B"
50092,0,2011,17.84,"0",500.310727660349,"A"
50092,1,2011,12.62,"partly intersecting",249.627051765044,"B"
50092,0,2011,12.62,"0",250.488228402478,"A"
50092,1,2011,5.64,"partly intersecting",49.7511409289504,"B"
50092,0,2011,5.64,"0",50.1360090933823,"A"
50094,1,2011,17.84,"partly intersecting",387.779555604688,"B"
50094,0,2011,17.84,"0",611.624515309368,"A"
50094,1,2011,12.62,"partly intersecting",174.227817173271,"B"
50094,0,2011,12.62,"0",325.887462994251,"A"
50094,1,2011,5.64,"partly intersecting",18.9941616097727,"B"
50094,0,2011,5.64,"0",80.89298841256,"A"
50101,1,2011,17.84,"partly intersecting",154.213257391914,"B"
50101,0,2011,17.84,"0",845.190813522142,"A"
50101,1,2011,12.62,"partly intersecting",86.1556542855073,"B"
50101,0,2011,12.62,"0",413.959625882015,"A"
50101,1,2011,5.64,"partly intersecting",25.5727372221327,"B"
50101,0,2011,5.64,"0",74.3144128002001,"A"
50109,1,2011,17.84,"partly intersecting",125.027193401292,"B"
50109,0,2011,17.84,"0",874.376877512764,"A"
50109,1,2011,12.62,"partly intersecting",52.8460107298789,"B"
50109,0,2011,12.62,"0",447.269269437643,"A"
50109,1,2011,5.64,"partly intersecting",3.23725922196244,"B"
50109,0,2011,5.64,"0",96.6498908003703,"A"
50112,1,2011,17.84,"partly intersecting",251.525090767298,"B"
50112,0,2011,17.84,"0",747.878980146758,"A"
50112,1,2011,12.62,"partly intersecting",127.043507468456,"B"
50112,0,2011,12.62,"0",373.071772699066,"A"
50112,1,2011,5.64,"partly intersecting",25.6546258348955,"B"
50112,0,2011,5.64,"0",74.2325241874372,"A"
50131,1,2011,17.84,"partly intersecting",184.128106851302,"B"
50131,0,2011,17.84,"0",815.275964062754,"A"
50131,1,2011,12.62,"partly intersecting",90.8124714869597,"B"
50131,0,2011,12.62,"0",409.302808680562,"A"
50131,1,2011,5.64,"partly intersecting",16.6882824355298,"B"
50131,0,2011,5.64,"0",83.198867586803,"A"
50132,1,2011,17.84,"partly intersecting",499.46054354146,"B"
50132,0,2011,17.84,"0",499.943527372596,"A"
50132,1,2011,12.62,"partly intersecting",249.886808919273,"B"
50132,0,2011,12.62,"0",250.228471248249,"A"
50132,1,2011,5.64,"partly intersecting",49.8672289122984,"B"
50132,0,2011,5.64,"0",50.0199211100344,"A"
50134,1,2011,17.84,"partly intersecting",499.213421964404,"B"
50134,0,2011,17.84,"0",500.190648949652,"A"
50134,1,2011,12.62,"partly intersecting",249.711995337297,"B"
50134,0,2011,12.62,"0",250.403284830225,"A"
50134,1,2011,5.64,"partly intersecting",49.7891030325565,"B"
50134,0,2011,5.64,"0",50.0980469897762,"A"
50144,1,2011,17.84,"partly intersecting",499.492070429518,"B"
50144,0,2011,17.84,"0",499.912000484538,"A"
50144,1,2011,12.62,"partly intersecting",249.90911101161,"B"
50144,0,2011,12.62,"0",250.206169155913,"A"
50144,1,2011,5.64,"partly intersecting",49.8771959329624,"B"
50144,0,2011,5.64,"0",50.0099540893704,"A"
60004,1,2012,17.84,"partly intersecting",498.988464203969,"B"
60004,0,2012,17.84,"0",500.415606710086,"A"
60004,1,2012,12.62,"partly intersecting",249.552860428271,"B"
60004,0,2012,12.62,"0",250.562419739251,"A"
60004,1,2012,5.64,"partly intersecting",49.7179874566763,"B"
60004,0,2012,5.64,"0",50.1691625656565,"A"
60008,1,2011,17.84,"partly intersecting",499.087081136408,"B"
60008,0,2011,17.84,"0",500.316989777648,"A"
60008,1,2011,12.62,"partly intersecting",249.622621948883,"B"
60008,0,2011,12.62,"0",250.492658218639,"A"
60008,1,2011,5.64,"partly intersecting",49.749161963594,"B"
60008,0,2011,5.64,"0",50.1379880587387,"A"
60018,1,2011,17.84,"partly intersecting",499.657187334671,"B"
60018,0,2011,17.84,"0",499.746883579385,"A"
60018,1,2011,12.62,"partly intersecting",250.025914568651,"B"
60018,0,2011,12.62,"0",250.089365598871,"A"
60018,1,2011,5.64,"partly intersecting",49.9293965912536,"B"
60018,0,2011,5.64,"0",49.9577534310791,"A"
60026,1,2011,17.84,"partly intersecting",498.989811957379,"B"
