"bund_nr","team","datum","hbi_status","beart","besttyp","struktur","schlussgrad_schi1","schlussgrad_schi2","mischung","pk1_aufnahme","pk2_aufnahme","pk3_aufnahme","geraet","beschreibungbestockung","anmerkung"
120118,"KF",2011-11-09,-9,1,2,1,2,-9,1,1,1,2,"-9",NA,NA
120119,"KF",2011-11-01,-9,1,8,1,5,-9,1,2,1,1,"-9",NA,NA
120120,"KF",2012-04-20,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
120121,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
120122,"KF",2012-03-20,-9,1,2,1,2,-1,1,1,1,1,"-9",NA,NA
120123,"KF",2012-03-19,-9,1,2,1,6,-9,1,1,1,1,"-9",NA,NA
120124,"KF",2012-03-13,-9,1,2,1,3,-9,1,1,1,1,"-9",NA,NA
120125,"KF",2011-11-18,-9,1,2,1,2,-9,1,1,1,2,"-9",NA,NA
120126,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
120127,"KF",2011-11-18,-9,1,2,1,6,-9,1,1,1,2,"-9",NA,NA
120128,"KF",2011-11-01,-9,1,2,1,1,-9,1,1,1,1,"-9",NA,NA
120129,"KF",2011-11-11,-9,1,2,1,1,-9,1,1,1,2,"-9",NA,NA
120130,"KF",2012-04-26,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
120131,"KF",2012-04-17,-9,1,2,1,1,-9,1,1,1,2,"-9","Aufnahmepunkt 82 cm und 10 gon vom Pflock",NA
120132,"KF",2012-03-26,-9,1,8,1,1,-9,1,1,1,1,"-9","aufgenommen 350 Gon und 56 cm vom Punkt",NA
120133,"KF",2012-03-29,-9,1,2,1,6,-9,1,1,1,1,"-9","Standpunkt 56 cm und 300 gon vom Pflock",NA
120134,"KF",2012-03-26,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
120135,"KF",2012-04-06,-9,1,2,1,6,-9,1,1,1,2,"-9","Aufnahmepunkt 206 cm und 384 gon vom Pflock",NA
120136,"KF",2012-04-06,-9,1,2,1,6,-9,1,1,1,1,"-9",NA,NA
120137,"KF",2012-04-19,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
120138,"KF",2012-04-19,-9,1,2,1,1,-9,1,1,1,2,"-9",NA,NA
120139,"KF",2012-04-02,-9,1,7,1,4,-9,2,1,1,1,"-9","Aufnahmepunkt 292 gon und 107 cm vom Pflock",NA
120140,"KF",2012-04-02,-9,1,2,2,4,5,1,1,1,1,"-9",NA,NA
120141,"KF",2012-04-23,-9,1,2,1,2,-9,1,1,1,2,"-9","Aufnahmepunkt 106 cm und 5 gon vom Pflock",NA
120142,"KF",2012-04-23,-9,1,2,1,2,-9,1,1,1,1,"-9","Aufnahmepunkt 120 cm und 360 gon vom Pflock",NA
