"bfhnr","plot_re4","plot_ho4","plot_inventur","plot_huform","plot_bestyp","plot_bodtyp","tf_ot","tf_ut","tf_corg","tf_fbv","tf_trd","tf_sand","tf_schluff","tf_ton","tf_bodart","hori_bez","hori_nr","hori_ot","hori_ut"
90525,4338804,5280093,2,"MUF","Fi","HNn",60,90,"285,16","528,14","0,18","28,99","39,29","31,72","Lt2",,,,
90557,4378465,5270511,2,,"Fi","HNu",0,5,"426,88","63,12","0,13","21,93","39,73","38,33","Lt3","uHw",1,0,61
90557,4378465,5270511,2,,"Fi","HNu",5,10,"369,13","78,14","0,16","24,73","36,43","38,83","Lt3","nHr",2,61,111
90557,4378465,5270511,2,,"Fi","HNu",10,30,"258,64","335,09","0,17","17,24","40,33","42,43","Lt3","IIfFrÂ°Gr",3,111,150
90557,4378465,5270511,2,,"Fi","HNu",30,60,"79,73","1180,72","0,41","43,91","33,38","22,72","Ls3",,,,
90557,4378465,5270511,2,,"Fi","HNu",60,90,"30,94","1911,05","0,66","46,15","32,41","21,44","Ls3",,,,
90594,4404203,5414205,2,"MUF","LW","GMc",0,5,"55,02","337,06","0,68","76,87","8,07","15,07","St2","Go-Aa",1,0,56
90594,4404203,5414205,2,"MUF","LW","GMc",5,10,"44,55","404,92","0,83","85,4","6,5","8,1","St2","Aa-Go",2,56,69
90594,4404203,5414205,2,"MUF","LW","GMc",10,30,"30,83","1788,72","0,99","80,29","8,36","11,35","St2","Gco",3,69,114
90594,4404203,5414205,2,"MUF","LW","GMc",30,60,"13,21","4187,27","1,43","83,45","6,16","10,39","St2","II eGr",4,114,150
90594,4404203,5414205,2,"MUF","LW","GMc",60,90,"7,27","4414,54","1,5","79,25","5,23","15,52","St2",,,,
90630,4428200,5310205,2,"AMO","Fi","HNu",0,5,"498,78","40,68","0,08",,,,"Lt2","uHw",1,0,28
90630,4428200,5310205,2,"AMO","Fi","HNu",5,10,"492,8","45,83","0,09",,,,"Lt2","uHr 1",2,28,51
90630,4428200,5310205,2,"AMO","Fi","HNu",10,30,"493,7","191,47","0,1",,,,"Lt2","uHr 2",3,51,83
90630,4428200,5310205,2,"AMO","Fi","HNu",30,60,"283,56","644,81","0,22",,,,,"II Gr",4,83,105
90630,4428200,5310205,2,"AMO","Fi","HNu",60,90,"96,54","1510,99","0,51","26,72","38,23","35,04","Lt3",,,,
90654,4436183,5494211,2,"MUF","LW","GH",0,5,"396,46","84,4","0,17","33,33","36,13","30,53","Lt2","nHw",1,0,32
90654,4436183,5494211,2,"MUF","LW","GH",5,10,"333,2","106,55","0,21","59,6","18,6","21,8","Ls4","IIGhr",2,32,50
90654,4436183,5494211,2,"MUF","LW","GH",10,30,"144,15","849,05","0,43","70,06","11,48","18,46","St3","IIGr",3,50,150
90654,4436183,5494211,2,"MUF","LW","GH",30,60,"24,19","3310,83","1,12","88,38","4,69","6,92","St2",,,,
90654,4436183,5494211,2,"MUF","LW","GH",60,90,"7,75","4195,72","1,43","92,21","3,37","4,42","Ss",,,,
90660,4444205,5302201,2,"MRR","MW","HNn",0,5,"469,42","57,72","0,12",,,,,"Hw",1,0,19
90677,4452195,5310201,2,"AMO","Ki","HHn",0,5,"475,01","40,26","0,08",,,,,"hHw 1",1,0,10
90677,4452195,5310201,2,"AMO","Ki","HHn",5,10,"463,95","52,22","0,1",,,,,"hHw 2",2,10,20
90677,4452195,5310201,2,"AMO","Ki","HHn",10,30,"493,4","215,39","0,11",,,,,"hHw 3",3,20,90
90677,4452195,5310201,2,"AMO","Ki","HHn",30,60,"502,34","296,95","0,1",,,,,"hHw 4",4,90,150
90677,4452195,5310201,2,"AMO","Ki","HHn",60,90,"513,69","313,92","0,1",,,,,,,,
90763,4500202,5310192,2,"ROT",,"KH",0,5,"474,19","97,91","0,2",,,,,"hHv1",1,0,15
90763,4500202,5310192,2,"ROT",,"KH",5,10,"492,56","114,74","0,23",,,,,"hHv2",2,15,70
90763,4500202,5310192,2,"ROT",,"KH",10,30,"512,24","324,06","0,16",,,,,"hHw",3,70,99
90763,4500202,5310192,2,"ROT",,"KH",30,60,"518,99","496,25","0,17",,,,,"uHw",4,99,150
90763,4500202,5310192,2,"ROT",,"KH",60,90,"514,11","452,32","0,15",,,,,,,,
90845,4556198,5462197,2,"MUO","LW","HNn",60,90,"90,2","1149,86","0,38","37,5","35,3","27,2","Lt2","nHw",1,0,77
90849,4564207,5310205,2,,"Fi","HNu",0,5,"475,11","88,1","0,18",,,,,"uHv",1,0,35
90849,4564207,5310205,2,,"Fi","HNu",5,10,"486,7","78,98","0,16",,,,,"uH",2,35,115
90849,4564207,5310205,2,,"Fi","HNu",10,30,"486,9","282,14","0,14",,,,,"uH2",3,115,150
90849,4564207,5310205,2,,"Fi","HNu",30,60,"505,35","445,33","0,15",,,,,,,,
90849,4564207,5310205,2,,"Fi","HNu",60,90,"513,04","406,85","0,14",,,,,,,,
90865,4580200,5430197,2,"ROF","Fi","GM",0,5,"63,81","258,26","0,52",45,"36,1","18,9","Ls3","Aa-Gor",1,0,25
90865,4580200,5430197,2,"ROF","Fi","GM",5,10,"82,63","304,32","0,61","42,8",42,"15,2","Slu","Gor",2,25,140
90865,4580200,5430197,2,"ROF","Fi","GM",10,30,"35,15","1594,07","0,84","54,28","39,58","6,14","Su3",,,,
90865,4580200,5430197,2,"ROF","Fi","GM",30,60,"16,82","2729,32","0,99","63,9","31,77","4,33","Su3",,,,
90865,4580200,5430197,2,"ROF","Fi","GM",60,90,"11,85","3083,13","1,14","65,77","28,83","5,4","Su3",,,,
90875,4596203,5438215,2,"MOA","Bu","BB-RN",0,5,"162,21","162,58","0,34","48,77","25,37","25,87","Lts","Aah",1,0,15
90875,4596203,5438215,2,"MOA","Bu","BB-RN",5,10,"88,11","207,63","0,45","54,13","25,33","20,53","Ls4","BvCv1",2,15,32
90875,4596203,5438215,2,"MOA","Bu","BB-RN",10,30,"62,28","757,29","0,45","53,39","28,75","17,86","Ls4","BvCv2",3,32,58
90875,4596203,5438215,2,"MOA","Bu","BB-RN",30,60,"31,19","1341,1","0,59","58,52","24,95","16,53","Sl4","II BvCv",4,58,80
90877,4604190,5422219,2,"AMO","Fi","GMn",0,5,"202,82","110,31","0,22","38,77","31,87","29,37","Lt2","Go-Aa",1,0,6
90877,4604190,5422219,2,"AMO","Fi","GMn",5,10,"165,18","136,6","0,28","33,07","35,47","31,47","Lt2","Gor",2,6,27
90877,4604190,5422219,2,"AMO","Fi","GMn",10,30,"121,88","439,27","0,23","40,31","38,08","21,61","Ls3","IIGr",3,27,65
90877,4604190,5422219,2,"AMO","Fi","GMn",30,60,"70,17","1180,12","0,41","49,49","33,37","17,14","Ls3",,,,
90877,4604190,5422219,2,"AMO","Fi","GMn",60,90,"34,96","1810,81","0,62","53,05","32,94","14,01","Sl4",,,,
90878,4612009,5422315,2,"ROF","Fi","HH",0,5,"417,41","43,79","0,09",,,,,"II qGr",3,55,57
90878,4612009,5422315,2,"ROF","Fi","HH",5,10,"367,08","51,92","0,1",,,,,,,,
90878,4612009,5422315,2,"ROF","Fi","HH",10,30,"139,72","694,66","0,36",,,,,,,,
90878,4612009,5422315,2,"ROF","Fi","HH",30,60,"54,22","1990,17","0,71","67,17","22,85","9,98","Sl3",,,,
120080,4609805,5846740,2,,"LW","GHn",0,5,"424,2","319,91","0,65",,,,,,,,
120080,4609805,5846740,2,,"LW","GHn",5,10,"418,7","340,36","0,68",,,,,,,,
120098,4520785,5809191,2,"MUO","LW","GHn",0,5,"353,9",125,"0,25",,,,"Hnb","Hvw",1,0,4
120098,4520785,5809191,2,"MUO","LW","GHn",5,10,"223,5",150,"0,3",,,,"Hnb","Hw",2,4,54
120098,4520785,5809191,2,"MUO","LW","GHn",10,30,"391,65",900,"0,45",,,,"Hnb","Gor",3,54,60
120098,4520785,5809191,2,"MUO","LW","GHn",30,60,"4,29",1500,"0,5",,,,,"fHr",4,60,80
120098,,,2,,,,,,,,,,,,,"Gr",5,80,112
120098,,,2,,,,,,,,,,,,,"Gr",6,112,145
120119,4567792,5775738,2,"MUO","LW","GMn",0,5,"87,44","445,84","0,89",,,,"Hnb","(rHAh)",1,0,7
120119,4567792,5775738,2,"MUO","LW","GMn",5,10,"71,94","521,22","1,04",,,,"Hnb","(rHwv)",2,7,28
120119,4567792,5775738,2,"MUO","LW","GMn",10,30,"33,87","2282,43","1,14","70,22","16,13","13,65","Sl4","Bv-rGro",3,28,43
120119,4567792,5775738,2,"MUO","LW","GMn",30,60,"0,73","4439,69","1,48","91,92","4,4","3,69","mSfs","Gro",4,43,73
120119,4567792,5775738,2,"MUO","LW","GMn",60,90,"0,64","4571,25","1,52","98,87","1,06","0,08","mSfs","Gor",5,73,90
120132,4615229,5758355,2,,"LW","KVn",0,5,329,"382,44","0,76",,,,"Hnb","HwHv",1,0,10
120132,4615229,5758355,2,,"LW","KVn",5,10,"291,5","420,29","0,84",,,,"Hnb","Aa",2,10,30
120132,,,2,,,,,,,,,,,,,"BhvGro",3,30,50
120132,,,2,,,,,,,,,,,,,"Gor",4,50,65
120154,4613784,5710403,2,,"LW","GMn",0,5,"379,9","467,32","0,93",,,,"Hnb","Hr (Aah)Ap",1,0,28
120154,4613784,5710403,2,,"LW","GMn",5,10,"325,9","467,32","0,93",,,,"Hnb","Sw BhAp",2,28,45
120154,4613784,5710403,2,,"LW","GMn",10,30,"508,61","2177,13","1,09","90,4","4,4","5,2","fSms","(Ae)Sw",3,45,95
120154,4613784,5710403,2,,"LW","GMn",30,60,"14,74","3951,12","1,35","90,4","5,8","3,81","fSms","Sd",4,95,130
120154,4613784,5710403,2,,"LW","GMn",60,90,"5,78","4405,32","1,55","90,4","6,9","2,7","fSms","lCv(rGr)",5,130,170
120159,4529321,5824918,2,"MUT","LW","GG",0,5,"264,4","391,88","0,78","67,3","16,8","15,9","Sl4","Hv",2,10,25
120159,4529321,5824918,2,"MUT","LW","GG",5,10,"172,2","301,46","0,6","68,9","16,2","14,9","Sl4","Go",3,25,50
