"bund_nr","pk_nr","pk_aufnahme","pk_richtung","pk_dist","pk_maxdist","pk_anmerkung"
30632,4,1,"w",1000,219,NA
30164,4,1,"w",1000,303,NA
30165,4,1,"w",1000,377,NA
30508,4,1,"w",1000,401,NA
30511,4,1,"w",1000,334,NA
30167,4,1,"w",1000,496,NA
30633,4,1,"w",1000,370,NA
30634,4,2,"w",1000,-9,NA
30635,4,1,"w",1000,402,NA
30636,4,1,"w",1000,152,NA
30168,4,1,"w",1000,341,NA
30169,4,1,"w",1000,277,NA
30637,4,1,"w",1000,459,NA
30170,4,1,"w",400,452,NA
30171,4,1,"w",1000,251,NA
30503,4,1,"w",1000,403,NA
30638,4,1,"w",1000,440,NA
30639,4,1,"w",200,362,NA
30178,4,2,"w",1000,-9,NA
30179,4,1,"w",1000,472,NA
30502,4,1,"w",1000,373,NA
30506,4,1,"w",1000,403,NA
30640,4,2,"w",1000,-9,NA
30641,4,1,"w",1000,155,NA
30182,4,1,"w",1000,241,NA
30512,4,1,"w",1000,381,NA
30186,4,1,"w",1000,293,NA
30188,4,1,"w",1000,278,NA
30191,4,1,"w",1000,485,NA
30192,4,1,"w",1000,178,NA
30642,4,1,"w",1000,235,NA
30516,4,1,"w",1000,401,NA
30517,4,1,"w",1000,452,NA
30643,4,1,"w",1000,256,NA
30518,4,1,"w",1000,99,NA
30644,4,2,"w",1000,-9,NA
30519,4,1,"w",1000,289,NA
30645,4,1,"w",1000,491,NA
30646,4,1,"w",1000,407,NA
30520,4,1,"w",1000,379,NA
30647,4,1,"w",1000,324,NA
30648,4,1,"w",400,296,NA
30649,4,2,"w",1000,-9,NA
30523,4,2,"w",1000,-9,NA
30650,4,1,"w",1000,83,NA
30651,4,1,"w",1000,361,NA
30652,4,1,"w",1000,396,NA
40001,3,1,"s",1000,124,NA
40003,3,1,"s",1000,172,NA
40004,3,1,"s",1000,329,NA
40005,3,1,"s",1000,349,NA
30001,3,1,"s",1000,223,NA
30002,3,1,"s",1000,131,NA
30004,3,1,"s",1000,68,NA
30006,3,1,"s",1000,457,NA
30007,3,1,"s",1000,248,NA
30008,3,1,"s",1000,245,NA
30009,3,1,"s",1000,393,NA
30601,3,1,"s",1000,345,NA
30602,3,1,"s",1000,118,NA
30013,3,1,"s",1000,445,NA
30014,3,2,"s",1000,-9,NA
30016,3,1,"s",1000,133,NA
30019,3,1,"s",1000,198,NA
30022,3,1,"s",1000,239,NA
30023,3,1,"s",1000,217,NA
30024,3,1,"s",1000,289,NA
30026,3,1,"s",1000,475,NA
30028,3,1,"s",1000,87,NA
30029,3,1,"s",1000,216,NA
30603,3,1,"s",1000,319,NA
30604,3,1,"s",1000,324,NA
30031,3,2,"s",1000,-9,NA
30032,3,1,"s",1000,269,NA
30033,3,1,"s",1000,483,NA
30034,3,1,"s",1000,491,NA
30036,3,1,"s",1000,314,NA
30605,3,1,"s",1000,291,NA
30037,3,1,"s",1000,237,NA
30606,3,2,"s",1000,-9,NA
30039,3,1,"s",1000,299,NA
30040,3,1,"s",500,130,NA
30042,3,2,"s",1000,-9,NA
30044,3,1,"s",1000,351,NA
30607,3,1,"s",1000,192,NA
30051,3,1,"s",1000,187,NA
30053,3,1,"s",1000,391,NA
30055,3,1,"s",1000,423,NA
30058,3,1,"s",1000,349,NA
30059,3,1,"s",1000,276,NA
30608,3,1,"s",1000,448,NA
30060,3,1,"s",1000,378,NA
30062,3,1,"s",1000,208,NA
30063,3,1,"s",500,298,NA
30064,3,1,"s",1000,79,NA
30069,3,1,"s",1000,495,NA
30609,3,1,"s",1000,213,NA
30610,3,1,"s",1000,96,NA
30070,3,1,"s",1000,105,NA
30510,3,2,"s",1000,-9,NA
30515,3,1,"s",1000,102,NA
30611,3,1,"s",1000,433,NA
30077,3,1,"s",1000,398,NA
30079,3,1,"s",1000,103,NA
30080,3,1,"s",300,363,NA
30081,3,1,"s",1000,212,NA
30083,3,1,"s",1000,291,NA
30522,3,1,"s",1000,325,NA
30086,3,1,"s",1000,123,NA
30088,3,1,"s",1000,489,NA
30089,3,1,"s",1000,498,NA
30094,3,1,"s",1000,290,NA
30612,3,2,"s",1000,-9,NA
30521,3,1,"s",1000,318,NA
30098,3,1,"s",1000,274,NA
30613,3,1,"s",1000,388,NA
30099,3,1,"s",800,75,NA
30614,3,1,"s",1000,461,NA
30615,3,1,"s",1000,412,NA
30616,3,1,"s",1000,286,NA
30617,3,1,"s",1000,202,NA
30618,3,2,"s",1000,-9,NA
30105,3,1,"s",1000,341,NA
30619,3,1,"s",1000,98,NA
30107,3,1,"s",1000,106,NA
30109,3,1,"s",1000,103,NA
30110,3,1,"s",1000,494,NA
30111,3,1,"s",1000,435,NA
30112,3,1,"s",1000,391,NA
30620,3,2,"s",1000,-9,NA
30501,3,1,"s",1000,262,NA
30621,3,1,"s",1000,471,NA
30118,3,1,"s",1000,267,NA
30119,3,1,"s",1000,147,NA
30622,3,1,"s",1000,432,NA
30123,3,1,"s",300,489,NA
30125,3,1,"s",1000,142,NA
30513,3,1,"s",1000,328,NA
30623,3,1,"s",1000,203,NA
30514,3,1,"s",1000,473,NA
30127,3,2,"s",1000,-9,NA
30128,3,1,"s",200,368,NA
30129,3,1,"s",1000,232,NA
30130,3,1,"s",1000,312,NA
30131,3,2,"s",1000,-9,NA
30624,3,1,"s",1000,495,NA
30509,3,1,"s",1000,80,NA
30132,3,1,"s",1000,445,NA
30625,3,1,"s",1000,408,NA
30626,3,1,"s",1000,459,NA
30627,3,1,"s",1000,157,NA
30138,3,1,"s",1000,142,NA
30139,3,1,"s",1000,460,NA
30141,3,2,"s",1000,-9,NA
30142,3,1,"s",1000,202,NA
30143,3,1,"s",1000,463,NA
30628,3,1,"s",1000,369,NA
30629,3,1,"s",1000,479,NA
30630,3,1,"s",1000,262,NA
30504,3,1,"s",1000,391,NA
30507,3,1,"s",1000,433,NA
