"bfhnr_2","bfhnr_1","erhebjahr_1","erhebjahr_2","bestandestyp_2","besttyp_2d","humusform_2","agghu_typ_2","eu_humusform","bodentyp_2","bodentypgr_2","bodenklasse_2","podsoligkeit_2","gruendigkeit_2","wrb"
30143,3143,1991,2006,8,"sonstige Laubbaumarten (>= 70 % sonstiges Laubholz)","-1","-1","-1","-1","-1","-1",NA,NA,"-1/-1/-1/-1/-1"
30147,3147,1991,2006,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT","-9","BB-PP","PP","P","-9","+200","-1/-1/-1/-1/-1"
30148,3148,1990,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MRR","MR","-9","GM","GM","G","p1","+75","-1/-1/-1/-1/-1"
30150,3150,1990,2006,7,"Nadelholzreiche Laubholzmischbestände (> 30 % Nadelholz)","MOA","MOT","-9","BB-GG","GG","G","p3","+160","-1/-1/-1/-1/-1"
30154,3154,1991,2006,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","MOA","MOT","-9","BB","BB","B","p2","+180","-1/-1/-1/-1/-1"
30157,3157,1991,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT","-9","GG","GG","G","p2","+100","-1/-1/-1/-1/-1"
30158,3158,1991,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT","-9","BB-RQ","RQ","R","p3","+200","-1/-1/-1/-1/-1"
30159,3159,1991,2007,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","GMO","MOT","-9","GG-BB","BB","B","p3","+180","-1/-1/-1/-1/-1"
30160,3160,1991,2006,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MRR","MR","-9","GG-PP","PP","P","-9","+170","-1/-1/-1/-1/-1"
30161,3161,1991,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT","-9","SS","SS","S","p1",NA,"-1/-1/-1/-1/-1"
30163,3163,1991,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT","-9","BB","BB","B","p2","+160","-1/-1/-1/-1/-1"
