"bfhnr","inventur","tiefenstufe","ot","ut","m_trd_fbv2","m_ea_corg2","m_ea_cco32","m_ea_cges2","m_ea_n2","m_ak_ca2","m_ak_k2","m_ak_mg2","m_ak_na2","m_ak_al2","m_ak_mn2","m_ak_h2","m_ak_fe2","m_ak_ak2","m_ak_bs2","m_as_p2","m_as_ca2","m_as_k2","m_as_mg2","m_as_mn2","m_as_na2","m_as_al2","m_as_fe2","m_as_s2","m_ph_h2o2","m_ph_k2","m_ph_ca2","m_cn2","m_cp2"
50035,2,"5 - 10",5,10,400,62,0.100000000000001,62.1,1.93,3.11,1.04,0.75,0.38,43.43,0.1,12,2.14,62.95,0.08,0.16,0.271,0.296,0.000408333332339922,0.019,0.212,2.168,3.796,0.271,3.8,3.3,3.3,32.12,387.5
50035,2,"10 - 30",10,30,2820,18,0.329999999999998,18.33,0.39,1.52,0.32,0.17,0.2,39.07,0.1,3.1,0.8,45.28,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,3.6,3.5,46.15,NA
50035,2,"30 - 60",30,60,4311.36,10,0.0399999999999991,10.04,0.23,0.64,0.32,0.1,0.23,33.07,0.1,0.3,0.46,35.22,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,4.1,4,43.48,NA
50035,2,"60 - 90",60,90,4544.1,3,0,2.73,0.1,0.57,0.73,0.26,0.2,45.61,0.1,0.7,0.2,48.37,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,3.9,3.8,30,NA
50036,2,"0 - 5",0,5,400.95,66,0.349999999999994,66.35,2.43,5.04,0.52,0.86,0.24,34.16,0.13,13,2.51,56.46,0.12,0.103,0.3,0.384,0.227,0.00308999995708465,0.204,2.546,2.17,0.283,3.9,3.3,3.3,27.16,640.78
50036,2,"5 - 10",5,10,574.2,37,0,36.57,1.09,2.52,0.31,0.43,0.2,30.65,0.1,7.6,1.69,43.5,0.08,0.0728000015258789,0.171,0.317,0.171,0.0051399999332428,0.069,2.456,1.492,0.163,4,3.4,3.3,33.94,508.24
50036,2,"10 - 30",10,30,2732.4,9,0.470000000000001,9.47,0.38,0.95,0.3,0.15,0.2,20.6,0.1,0.7,0.39,23.39,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4,4,23.68,NA
50036,2,"30 - 60",30,60,4544.1,4,0.42,4.42,0.12,0.65,0.3,0.1,0.2,13.31,0.1,0.1,0.19,14.95,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,4.3,4.3,33.33,NA
50036,2,"60 - 90",60,90,4425.3,3,0,2.6,0.16,0.38,0.3,0.1,0.2,9.52,0.1,0.1,0.12,10.82,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,4.5,4.5,18.75,NA
50037,2,"0 - 5",0,5,328,94,0.0799999999999983,94.08,4.97,7.85,3.45,3.51,0.26,85.58,1.79,20,7.27,129.71,0.12,0.715,0.612,2.303,1.88,0.294,0.203,14.662,20.583,0.625,3.8,3.1,3.2,18.91,131.47
50037,2,"5 - 10",5,10,476,23,0,22.55,1.41,1.3,1.3,0.77,0.2,60.67,1.86,1.6,0.32,68.02,0.05,0.386,0.482,2.38,2.44,0.559,0.096,19.914,23.604,0.207,4.4,3.9,3.9,16.31,59.59
50037,2,"10 - 30",10,30,2160,16,0.379999999999999,16.38,1.31,1.04,1.11,0.62,0.2,50.89,1.79,0.8,0.13,56.58,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4.1,4.1,12.21,NA
50037,2,"30 - 60",30,60,2499,4,0.0300000000000002,4.03,2.08,0.68,0.75,0.57,0.2,39.59,0.96,0.3,0.1,43.15,0.05,0.275,0.298,2.83,4.46,0.926,0.099,19.7,26.6,0.115,4.6,4.1,4.1,NA,14.55
50037,2,"60 - 90",60,90,2310,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50038,2,"0 - 5",0,5,360,198,0.5,198.5,8,58.45,2.79,7.41,0.43,97.52,1.36,0.1,5.17,173.23,0.4,0.541,2.88233333333333,1.18533333333333,1.06266666666667,0.214333333333333,0.196333333333333,10.2913333333333,22.668,1.07133333333333,4.2,3.4,3.6,24.75,365.99
50038,2,"5 - 10",5,10,517.5,93,0,92.91,3.15,16.99,1.63,15.14,0.32,101.52,0.17,14,5.15,154.92,0.22,0.324333333333333,0.779,1.17666666666667,0.791666666666667,0.101466665649414,0.206666666666667,10.567,17.0763333333333,0.482666666666667,4.1,3.3,3.4,29.52,286.74
50038,2,"10 - 30",10,30,1764,22,0.289999999999999,22.29,0.79,2.96,0.85,1.23,0.26,69.94,0.17,3.5,1.74,80.65,0.07,0.184,0.441,1.295,1.442,0.182,0.072,17.162,16.895,0.187,4.3,3.6,3.8,27.85,119.57
50038,2,"30 - 60",30,60,3034.5,6,0.26,6.26,0.29,0.34,0.3,2.41,0.2,21.47,0.12,1,0.1,25.94,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,3.9,4.1,20.69,NA
50038,2,"60 - 90",60,90,2769,8,0,7.63,0.36,0.36,0.81,2.17,0.2,42.37,0.23,0.6,0.1,46.84,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,3.9,4,22.22,NA
50039,2,"0 - 5",0,5,511.85,54,1.39,55.39,3.2,229,5.6,18.6,0.9,NA,NA,NA,NA,254.1,1,0.706,11.293,3.031,3.436,0.817,0.398,14.382,19.402,0.536,7.4,7.1,7,16.88,76.49
50039,2,"5 - 10",5,10,569.78,45,1.86,46.86,2.54,196,5.1,17.7,0.9,NA,NA,NA,NA,219.7,1,0.708,12.813,3.112,3.603,0.805,0.429,15.125,19.942,0.511,7.6,7.3,7.1,17.72,63.56
50039,2,"10 - 30",10,30,2700,14,2.22,16.22,0.72,108,3.9,13.2,0.9,NA,NA,NA,NA,126,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7.7,7.4,19.44,NA
50039,2,"30 - 60",30,60,3459.75,7,3.92,10.92,0.36,79,2.8,12.1,0.9,NA,NA,NA,NA,94.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,7.8,7.6,19.44,NA
50039,2,"60 - 90",60,90,2475,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50040,2,"0 - 5",0,5,525,71,0.150000000000006,71.15,4.58,217.42,5.03,10.46,2.12,13.41,2.53,4,2.05,257.02,0.91,0.341,4.538,2.177,2.38,0.234,0.281,16.57,12.813,0.529,4.8,3.8,4.2,15.5,208.21
50040,2,"5 - 10",5,10,550,36,0,35.96,2.57,180.09,3.23,7.34,2.44,22.62,2.33,3.7,1.45,223.2,0.87,0.255,3.895,2.278,2.619,0.322,0.321,18.5,14.411,0.31,4.9,3.8,4.3,14.01,141.18
50040,2,"10 - 30",10,30,3120,14.6408,0.634879999999999,15.27568,1.03332,219.41,3.28,7.27,3.1,12.88,1.93,1.5,0.36,249.73,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.17696,5.41544,5.72056,14.17,NA
50040,2,"30 - 60",30,60,4545,5.5825,16.447425,22.029925,0.47693,253.782,2.15495,6.7462,5.45495,NA,NA,NA,NA,268.14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7901,7.3934,7.2,11.71,NA
50040,2,"60 - 90",60,90,5400,1,48.27,49.27,0.16,141,1.6,3.4,4.1,NA,NA,NA,NA,150.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,7.7,7.5,6.25,NA
50041,2,"0 - 5",0,5,302.5,99,0.0100000000000051,99.01,4.01,12.7,2.15,3.16,0.41,147.39,4.28,12,5.21,187.3,0.1,0.62,0.605,3.333,2.334,0.573,0.366,20.653,36.215,0.671,3.9,3.3,3.4,24.69,159.68
50041,2,"5 - 10",5,10,240,35,0,34.89,1.25,2.3,1.23,1.27,0.2,109.15,1.6,3.5,0.9,120.15,0.04,0.437,0.375,3.757,3.227,0.723,0.329,26.59,40.173,0.335,4.1,3.6,3.7,28,80.09
50041,2,"10 - 30",10,30,840,18,0.190000000000001,18.19,0.88,1.66,1.53,1.08,0.25,90.47,2.08,3,0.29,100.36,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,3.7,3.8,20.45,NA
50041,2,"30 - 60",30,60,900,7,0.17,7.17,0.58,1.6,1.38,1.08,0.23,74.01,1.53,2.2,0.1,82.13,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,3.8,3.9,12.07,NA
50042,2,"0 - 5",0,5,402,110,0,109.89,6.65,46.21,2.24,16.84,1.13,55.5,3.73,8.3,0.87,134.82,0.49,0.851,1.43,2.07,2.76,0.437,0.24,17,22.7,0.949,4.7,3.6,3.8,16.54,129.26
50042,2,"5 - 10",5,10,432.985,55,0,54.8,3.82,19.5,1.32,8.38,0.81,66.38,6.94,4.1,0.39,107.82,0.28,0.727,0.883,2.405,3.343,0.997,0.244,20.723,25.318,0.615,4.5,3.6,3.9,14.4,75.65
50042,2,"10 - 30",10,30,2280,36,0,35.61,2.35,14.29,1.23,6.55,0.6,41.9,4.66,2.3,0.1,71.63,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,3.8,4.1,15.32,NA
50042,2,"30 - 60",30,60,3690,15,0,14.89,0.83,15.04,0.89,7.5,0.44,26.51,0.84,1.1,0.1,52.42,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,4,4.3,18.07,NA
50042,2,"60 - 90",60,90,3455.4,8,0.24,8.24,0.59,17.02,0.98,9.63,0.43,14.72,0.77,1,0.1,44.65,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,4.1,4.5,13.56,NA
50043,2,"0 - 5",0,5,375,172,0,172,7.1,25.65,3.15,5.98,0.69,101.98,1.93,31,7.06,177.44,0.2,0.735,0.863,1.42233333333333,1.188,0.189333333333333,0.197100001017253,13.208,21.7463333333333,1.08,3.7,2.9,3.1,24.23,234.01
50043,2,"5 - 10",5,10,412.5,62,0,61.97,2.27,6.27,1.49,1.92,0.55,132.66,0.56,10,7.14,160.59,0.06,0.437666666666667,0.524666666666667,1.685,2.028,0.236,0.176766667683919,22.9583333333333,28.1116666666667,0.479333333333333,3.9,3.2,3.4,27.31,141.66
50043,2,"10 - 30",10,30,1480.8,17,0,16.59,0.86,1.5,1.24,0.53,0.36,70.84,1.6,0.1,0.11,76.28,0.05,0.372,0.375,2.378,2.757,1.139,0.0833000030517578,30.787,30.854,0.293,4.4,3.9,4.1,19.77,45.7
50043,2,"30 - 60",30,60,1026.21212121212,11,0.25,11.25,1,1.45,1.03,0.59,0.52,66.84,1.72,0.1,0.1,72.35,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,4,4.1,11,NA
50043,2,"60 - 90",60,90,780,10,0.25,10.25,1.46,1.64,1.02,0.71,0.32,65.73,1.48,0.1,0.1,71.1,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,4,4.1,6.85,NA
50044,2,"0 - 5",0,5,360,78,0.209999999999994,78.21,3.82,6.4,1.53,2.1,0.33,90.18,3.72,5.8,6.33,116.39,0.09,0.39,0.442,1.887,1.151,0.538,0.239,14.811,22.358,0.384,4,3.2,3.4,20.42,200
50044,2,"5 - 10",5,10,357.5,30,0,29.84,1.3,6.36,1.73,2.09,0.35,89.73,3.72,5.9,6.32,116.2,0.09,0.306,0.229,1.93,1.245,0.622,0.094,17.879,24.004,0.196,4.2,3.4,3.6,23.08,98.04
50044,2,"10 - 30",10,30,1540,9,0,8.53,0.5,0.49,1.05,0.31,0.2,50.6,2.64,1.5,0.1,56.89,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,3.8,4,18,NA
50044,2,"30 - 60",30,60,2250,5,0.31,5.31,0.32,0.32,0.94,0.21,0.2,42.59,2.06,0.6,0.1,47.02,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,3.9,4.1,15.63,NA
50044,2,"60 - 90",60,90,2250,4,0,3.61,0.24,0.44,1.07,0.3,0.2,48.97,1.34,0.1,0.1,52.52,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,3.9,4,16.67,NA
50045,2,"0 - 5",0,5,600,50,0,49.84,1.4,8.5,1.62,1.78,0.26,43.88,0.27,27,4.01,87.32,0.14,0.196,0.956,0.878,0.693,0.048,0.192,6.158,5.982,0.231,4.1,2.8,3.1,35.71,255.1
50045,2,"5 - 10",5,10,650,22,0.109999999999999,22.11,0.52,4.5,1.53,1.36,0.35,63.4,0.19,17,5.8,94.13,0.08,0.198,0.594,1.113,1.142,0.083,0.062,9.499,10.727,0.119,3.8,3,3.2,42.31,111.11
50045,2,"10 - 30",10,30,2540,9,0.0399999999999991,9.04,0.32,1.5,1.54,0.75,0.27,71.41,0.13,2.8,1.77,80.17,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,3.6,3.7,28.13,NA
50045,2,"30 - 60",30,60,4200,5,0,4.79,0.18,1.65,2.61,1.26,0.82,107.43,0.26,2,0.3,116.33,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,3.7,3.8,27.78,NA
50045,2,"60 - 90",60,90,4200,4,0,3.96,0.21,60.33,3.32,2.96,1.2,83.41,0.45,0.1,0.1,151.87,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,3.9,4.2,19.05,NA
50046,2,"0 - 5",0,5,364,38,0.200000000000003,38.2,2.23,27.16,2.87,8.71,0.36,29.85,5.15,3.7,0.1,77.9,0.5,0.575333333333333,0.921666666666667,2.32866666666667,1.53933333333333,1.028,0.208333333333333,15.794,24.5566666666667,0.290333333333333,4.8,3.7,4,17.04,66.05
50046,2,"5 - 10",5,10,399,27,0,26.83,1.59,11.55,2.14,4.89,0.23,41.45,4.88,2.9,0.1,68.14,0.28,0.458,0.502333333333333,2.10366666666667,1.50466666666667,1.281,0.116,16.1446666666667,27.7113333333333,0.21,4.8,3.7,4,16.98,58.95
50046,2,"10 - 30",10,30,1628,9,0,8.93,0.6,7.8,2.1,3.28,0.66,37.32,3.66,1.7,0.1,56.62,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,3.8,4,15,NA
50046,2,"30 - 60",30,60,2655,3,0.24,3.24,0.33,13.71,2.49,6.37,0.2,31.4,2.28,1.7,0.1,58.25,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,3.8,4,9.09,NA
50046,2,"60 - 90",60,90,1350,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50047,2,"0 - 5",0,5,300,132,0,131.62,5.95,8.16,2.79,3.36,0.67,104.76,0.64,30,10.78,161.16,0.09,0.505666666666667,0.62,1.53266666666667,1.141,0.158,0.171433334350586,13.144,17.8813333333333,0.686666666666667,3.8,3,3.1,22.18,261.04
50047,2,"5 - 10",5,10,292.5,70,0,70,2.94,3.99,1.56,1.76,0.66,99.86,0.4,18,7.44,133.67,0.06,0.353333333333333,0.602666666666667,1.79533333333333,1.463,0.204,0.171766667683919,16.686,20.215,0.383,4,3.2,3.3,23.81,198.11
50047,2,"10 - 30",10,30,1070.6,25,0,24.66,1.01,1.05,0.81,0.41,0.35,59.84,1.56,1.4,0.46,65.88,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4,4,24.75,NA
50047,2,"30 - 60",30,60,1800,5,0,4.52,0.19,0.4,0.92,0.1,0.2,41.15,2.1,0.5,0.1,45.47,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,4.1,4.1,26.32,NA
50047,2,"60 - 90",60,90,975,3,0.42,3.42,0.19,0.45,0.96,0.1,0.2,37.99,2.43,1,0.1,43.23,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,4,4.1,15.79,NA
50048,2,"0 - 5",0,5,368,75,0.299999999999997,75.3,3.58,5.58,1.6,3.44,0.46,115.43,0.79,17,7.14,151.44,0.07,0.377,0.478,2.24,4.051,0.28,0.2,19.638,24.309,0.52,3.9,3.3,3.4,20.95,198.94
50048,2,"5 - 10",5,10,444,41,0.399999999999999,41.4,1.98,1.91,1.14,1.95,0.38,94.53,1.08,7.3,1.92,110.21,0.05,0.285,0.45,2.639,4.654,0.303,0.198,22.882,25.414,0.343,4.1,3.5,3.7,20.71,143.86
50048,2,"10 - 30",10,30,1347.5,16,0.100000000000001,16.1,0.78,0.84,0.67,0.99,0.31,57.17,1.05,3.1,0.31,64.44,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,3.8,4,20.51,NA
50048,2,"30 - 60",30,60,1980,8,0,7.98,0.34,1.08,0.42,0.33,0.21,33.64,1.03,1.6,0.1,38.41,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,3.9,4.1,23.53,NA
50049,2,"0 - 5",0,5,385,95,0,94.92,4.17,1.3,1.87,2.07,0.45,128.42,0.16,15,13.94,163.21,0.03,0.386,0.467,2.123,1.858,0.151,0.22,17.63,23.697,0.607,3.7,3.1,3.3,22.78,246.11
50049,2,"5 - 10",5,10,420,37,0,36.85,1.72,0.36,0.92,0.62,0.29,83.51,0.25,1.5,2.05,89.5,0.02,0.297,0.41,2.131,2.227,0.195,0.089,24.05,25.735,0.377,4.2,3.8,3.9,21.51,124.58
50049,2,"10 - 30",10,30,1960,23,0.0300000000000011,23.03,1.12,0.23,0.87,0.42,0.2,63.49,0.76,0.5,0.53,67,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,4,4.1,20.54,NA
50049,2,"30 - 60",30,60,2767.5,7,0,6.95,0.45,0.2,0.83,0.23,0.2,37.92,0.62,0.1,0.1,40.2,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,4.2,4.3,15.56,NA
50049,2,"60 - 90",60,90,1156.5,11,0,10.91,0.72,0.95,0.89,0.52,0.31,42.37,0.67,0.1,0.1,45.91,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4.2,4.3,15.28,NA
50050,2,"0 - 5",0,5,413.66,125,0,124.66,6.68,23.66,3.32,6.51,0.82,79.07,1.42,18,8.5,141.3,0.24,0.703,0.998,1.866,1.417,0.184,0.192,12.774,17.265,0.813,4,3.2,3.3,18.71,177.81
50050,2,"5 - 10",5,10,396.325,61,0.18,61.18,3.16,8,2.15,2.47,0.66,79.96,0.69,8.9,3.76,106.59,0.12,0.454,0.783,1.94,1.652,0.183,0.23,14.697,17.771,0.438,4.2,3.4,3.5,19.3,134.36
50050,2,"10 - 30",10,30,2119.04,29,0.170000000000002,29.17,1.5,3.66,1.46,1.05,0.46,57.72,1.41,1,0.62,67.38,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,3.9,4,19.33,NA
50050,2,"30 - 60",30,60,3336.84,5,0,4.85,0.33,3.11,1.1,0.87,0.55,34.11,0.75,0.1,0.1,40.69,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,4.2,4.2,15.15,NA
50050,2,"60 - 90",60,90,3120.15,2,0.41,2.41,0.16,6.16,1.34,1.87,0.39,33.53,0.8,0.1,0.1,44.29,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,4.1,4.2,12.5,NA
50051,2,"0 - 5",0,5,495,40,0.100000000000001,40.1,1.39,16.02,1.72,5,0.33,54.95,0.18,8.9,3.3,90.4,0.26,0.133,0.426,1.046,0.803,0.033,0.055,6.396,8.661,0.21,4.1,3.3,3.5,28.78,300.75
50051,2,"5 - 10",5,10,722.7,13,0,12.67,0.36,7.16,1.07,2.48,0.31,44.5,0.1,6.7,2.32,64.64,0.17,0.09,0.304,1.275,0.889,0.025,0.065,7.121,8.087,0.072,4.2,3.3,3.5,36.11,144.44
50051,2,"10 - 30",10,30,2950.2,8,0.220000000000001,8.22,0.39,17.28,2.05,4.67,0.55,81.19,0.1,7,1.26,114.1,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,3.1,3.4,20.51,NA
50051,2,"30 - 60",30,60,4500,6,0.41,6.41,0.33,113.43,4.03,9.05,0.99,58.95,0.21,0.1,0.1,186.86,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,4,4.4,18.18,NA
50051,2,"60 - 90",60,90,4470,4,7.62,11.62,0.26,164,4.7,12.3,0.9,NA,NA,NA,NA,181.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,7.5,7.3,15.38,NA
50052,2,"0 - 5",0,5,365.5,56,0,55.99,2.66,2.19,0.3,1.22,0.2,45.4,2.37,5.9,1.13,58.71,0.07,0.296,0.553,1.72233333333333,1.35533333333333,0.329,0.211,14.0536666666667,15.945,0.326,4.2,3.5,3.6,21.05,189.19
80157,2,"30 - 60",30,60,923.7,7.39,0,7.39,0.554,9,1.04,1.19,0.38,46.6,2.84,1.71,0.19,62.95,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.41,3.6,3.82,13.34,NA
80157,2,"60 - 90",60,90,558,2.13,0.443645083932854,2.57364508393285,0.328,103.49,1.64,4.35,0.66,NA,NA,NA,NA,110.14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,6.94,7.02,6.49,NA
80164,2,"30 - 60",30,60,3672.8,3.9,0,3.9,0.507,146.19,3.9,39.24,0.4,12.8,0.38,0.79,0.00333333333333333,203.7,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.69,4.05,4.6,7.69,NA
50052,2,"5 - 10",5,10,395.25,29,0,28.62,1.08,0.72,1.2,0.62,0.2,56.67,1.7,1.6,0.23,62.94,0.04,0.195333333333333,0.438,1.66133333333333,1.49366666666667,0.359,0.0933333333333333,17.2236666666667,16.191,0.159,4.5,3.9,4,26.85,148.46
50052,2,"10 - 30",10,30,1840,17,0,16.82,0.7,0.64,0.99,0.43,0.2,46.44,1.51,0.5,0.1,50.81,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,4.1,4.2,24.29,NA
50052,2,"30 - 60",30,60,3274.92,5,0.41,5.41,0.39,0.46,1.43,0.41,0.2,38.99,1.35,0.5,0.1,43.44,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,4.1,4.1,12.82,NA
50052,2,"60 - 90",60,90,3279.57,3,0,2.84,0.32,0.52,1.41,0.76,0.2,46.59,1.01,0.4,0.1,50.99,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4,4,9.38,NA
50053,2,"0 - 5",0,5,262.5,87,0,86.66,4.96,17.07,1.76,13.03,0.53,81.09,1.44,15,6.61,136.53,0.24,0.945,0.775,2.762,2.817,0.449,0.211,20.204,27.525,0.652,4,3.2,3.4,17.54,92.06
50053,2,"5 - 10",5,10,360,41,0.399999999999999,41.4,2.86,4.89,1.24,4.21,0.51,82.42,2.43,6.2,1.31,103.21,0.11,0.828,0.587,2.884,3.245,0.674,0.236,23.15,28.273,0.455,4.1,3.5,3.6,14.34,49.52
50053,2,"10 - 30",10,30,872,40,0.140000000000001,40.14,2.66,8.45,1.29,5.99,0.42,69.97,3.45,3.2,0.75,93.52,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,3.6,3.7,15.04,NA
50053,2,"30 - 60",30,60,1017,15,0.0700000000000003,15.07,1.19,3.58,1.21,2.17,0.37,40.84,1.8,0.6,0.11,50.68,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,4.1,4.1,12.61,NA
50054,2,"0 - 5",0,5,279.5,101,0,100.66,4.51,0.77,2.57,2.41,0.7,138.9,0.54,10,5.5,161.39,0.04,0.549666666666667,0.473,2.087,2.033,0.279,0.261,22.267,28.947,0.523666666666667,4.1,3.3,3.4,22.39,183.75
50054,2,"5 - 10",5,10,381.5,41,0,40.64,1.68,0.24,1.05,0.75,0.37,74.85,1.26,1.6,0.28,80.4,0.03,0.391,0.430666666666667,2.171,2.38533333333333,0.409333333333333,0.143333333333333,26.838,30.104,0.312333333333333,4.5,3.9,4,24.4,104.86
50054,2,"10 - 30",10,30,1573,23,0.489999999999998,23.49,1.14,0.2,0.91,0.4,0.27,55.73,1.15,0.4,0.1,59.16,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4.1,4.2,20.18,NA
50055,2,"0 - 5",0,5,300,109,0,108.6,4.98,8.94,2.23,3.87,0.47,121.75,0.54,15,9.06,161.86,0.1,0.509,0.646,2.256,2.286,0.2,0.294,18.621,22.365,0.717,3.9,3.1,3.3,21.89,214.15
50055,2,"5 - 10",5,10,302.5,42,0,41.78,1.99,1.72,1.21,1.45,0.3,108.86,0.14,7.5,5.44,126.62,0.04,0.287,0.384,2.204,2.668,0.197,0.09,22.174,24.793,0.289,4.1,3.3,3.5,21.11,146.34
50055,2,"10 - 30",10,30,1350,16,0,15.56,0.72,2.39,1.28,0.94,0.25,50.6,0.59,0.7,0.27,57.02,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,4,4.1,22.22,NA
50055,2,"30 - 60",30,60,4200,5,0.5,5.5,0.36,12.75,1.08,3.22,0.25,21.33,0.9,0.1,0.1,39.73,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,4.3,4.5,13.89,NA
50056,2,"0 - 5",0,5,325,102,0,101.99,5.37,8.28,2.18,4.79,0.4,125.55,5.63,19,4.88,170.71,0.09,0.592,0.531,2.84566666666667,3.564,0.664333333333333,0.176666666666667,21.2173333333333,29.0816666666667,0.631666666666667,3.9,3.1,3.3,18.99,172.3
50056,2,"5 - 10",5,10,357.5,40,0,39.65,1.7,2.37,1.44,1.79,0.44,90.42,3.34,4.5,0.45,104.75,0.06,0.395666666666667,0.420333333333333,3,3.67766666666667,0.841666666666667,0.076,25.7816666666667,28.3256666666667,0.318666666666667,4.2,3.5,3.7,23.53,101.1
50056,2,"10 - 30",10,30,1560,18,0.140000000000001,18.14,1.05,0.35,1.15,0.66,0.2,50.39,1.59,1.3,0.1,55.74,0.04,0.353,0.482,2.73,3.153,0.994,0.086,24.11,23.179,0.263,4.5,4,4.1,17.14,50.99
50056,2,"30 - 60",30,60,2145,19,0,18.72,1.32,0.43,1.05,0.63,0.21,46.84,1.1,0.5,0.1,50.86,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,4.1,4.2,14.39,NA
50056,2,"60 - 90",60,90,2310,21,0,20.9,1.09,0.8,1.13,0.72,0.26,53.06,0.89,0.3,0.1,57.26,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,4.1,4.2,19.27,NA
50057,2,"0 - 5",0,5,180,98,0,97.94,4.32,14.21,2.71,3.64,0.54,81.73,0.55,16,5.58,124.96,0.17,1.009,0.843,2.275,1.236,0.137,0.198,14.045,19.387,0.611,3.9,3.1,3.3,22.69,97.13
50057,2,"5 - 10",5,10,200,50,0.460000000000001,50.46,2.18,8.38,1.71,2.28,0.48,84.84,0.34,11,4.84,113.87,0.11,0.985,0.696,2.693,1.473,0.129,0.256,16.585,20.39,0.364,3.9,3.2,3.3,22.94,50.76
50057,2,"10 - 30",10,30,1246,15,0,14.55,0.51,1.66,1.16,0.66,0.32,52.82,0.16,0.7,0.59,58.07,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,3.9,4,29.41,NA
50057,2,"30 - 60",30,60,1063.07692307692,9,0.210000000000001,9.21,0.42,0.75,0.95,0.65,0.42,55.93,0.55,0.9,0.24,60.39,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,3.9,4,21.43,NA
