"bund_nr","lfd_nr","zwiesel","bart","alter","alter_methode","d_mess","bhd_hoehe","hoehe","kransatz","azi","hori","kraft","schi"
"34010_2",57,NA,"GFI",41,1,104,130,100,74,349,1140,"4",1
"34010_2",58,NA,"GFI",41,1,167,130,110,105,351,1030,"3",1
"34010_2",59,NA,"GFI",41,1,156,130,93,84,364.5,860,"3",1
"34010_2",60,NA,"GFI",41,1,159,130,113,88,380.5,570,"3",1
"32010",1,NA,"SER",NA,1,226,130,NA,NA,84.4444444444444,349,"2",1
"32010",2,NA,"SER",NA,1,210,130,NA,NA,77.7777777777777,415,"2",1
"32010",3,NA,"SER",NA,1,122,130,NA,NA,84.4444444444444,418,"4",1
"32010",4,NA,"SER",NA,1,99,130,NA,NA,99.9999999999999,387,"4",1
"32010",5,NA,"SER",NA,1,218,130,170,98,71.111111111111,562,"3",1
"32010",6,NA,"SER",NA,1,240,130,NA,NA,83.3333333333333,945,"2",1
"32010",7,NA,"SER",NA,1,246,130,NA,NA,73.3333333333333,1041,"2",1
"32010",8,NA,"SER",NA,1,210,130,NA,NA,110,1003,"2",1
"32010",9,NA,"SER",NA,1,239,130,NA,NA,113.333333333333,1208,"2",1
"32010",10,NA,"SER",NA,1,191,130,152,116,144.444444444444,500,"2",1
"32010",11,NA,"SER",NA,1,110,130,160,107,144.444444444444,547,"3",1
"32010",12,NA,"SER",NA,1,226,120,NA,NA,154.444444444444,672,"2",1
"32010",13,NA,"SER",NA,1,182,120,NA,NA,147.777777777778,929,"2",1
"32010",14,NA,"SER",NA,1,126,130,NA,NA,180,341,"3",1
"32010",15,NA,"SER",NA,1,86,120,116,90,177.777777777778,357,"3",1
"32010",16,NA,"SER",NA,1,160,110,NA,NA,173.333333333333,386,"2",1
"32010",17,NA,"SER",NA,1,146,110,NA,NA,181.111111111111,541,"2",1
"32010",18,NA,"SER",NA,1,184,130,NA,NA,171.111111111111,1004,"2",1
"32010",19,NA,"SER",NA,1,210,120,NA,NA,226.666666666666,463,"2",1
"32010",20,NA,"SER",NA,1,157,120,NA,NA,233.333333333333,482,"2",1
"32010",21,NA,"SER",NA,1,117,130,NA,NA,217.777777777778,1078,"2",1
"32010",22,NA,"SER",NA,1,172,130,NA,NA,213.333333333333,1157,"2",1
"32010",23,NA,"SER",NA,1,180,130,NA,NA,257.777777777778,309,"2",1
"32010",24,NA,"SER",NA,1,161,130,NA,NA,270,850,"2",1
"32010",25,NA,"SER",NA,1,127,130,NA,NA,267.777777777778,1062,"2",1
"32010",26,NA,"SER",NA,1,120,130,NA,NA,263.333333333333,1141,"2",1
"32010",27,NA,"SER",NA,1,106,130,NA,NA,257.777777777778,1095,"3",1
"32010",28,NA,"SER",NA,1,166,130,NA,NA,252.222222222222,1085,"2",1
"32010",29,NA,"SER",NA,1,100,130,NA,NA,305.555555555555,566,"2",1
"32010",30,NA,"SER",NA,1,175,130,NA,NA,293.333333333333,892,"2",1
"32010",31,NA,"SER",NA,1,226,110,NA,NA,357.777777777777,368,"2",1
"32010",32,NA,"SER",NA,1,225,120,NA,NA,346.666666666666,713,"2",1
"32010",33,NA,"SER",NA,1,134,130,NA,NA,353.333333333333,917,"2",1
"32010",34,NA,"SER",NA,1,173,130,NA,NA,348.888888888889,897,"2",1
"32010",35,NA,"SER",NA,1,176,120,NA,NA,350,929,"2",1
"32010",36,NA,"SER",NA,1,85,110,62,54,346.666666666666,1173,NA,2
"32010",37,NA,"SER",NA,1,104,130,117,79,344.444444444444,1072,NA,2
"32010",38,1,"SER",NA,1,164,130,NA,NA,351.111111111111,1154,"2",1
"32010",39,1,"SER",NA,1,122,130,NA,NA,350,1177,"2",1
"32010",40,1,"SER",NA,1,188,130,NA,NA,355.555555555555,1165,"2",1
"32010",41,NA,"SER",NA,1,185,130,NA,NA,373.333333333333,822,"2",1
"32010",42,1,"SER",NA,1,215,130,NA,NA,398.888888888889,880,"2",1
"32010",43,1,"SER",NA,1,130,130,NA,NA,2.22222222222222,870,"3",1
"32010",44,1,"SER",NA,1,140,130,NA,NA,4.44444444444444,1130,"3",1
"32010",45,1,"SER",NA,1,178,130,NA,NA,8.88888888888888,1126,"3",1
"32010",46,NA,"SER",NA,1,233,130,NA,NA,21.1111111111111,617,"2",1
"32010",47,NA,"SER",NA,1,203,130,NA,NA,33.3333333333333,848,"2",1
"32010",48,NA,"SER",NA,1,216,130,NA,NA,37.7777777777777,895,"2",1
"32010",49,NA,"SER",NA,1,242,130,NA,NA,36.6666666666666,391,"2",1
"32010",50,NA,"SER",NA,1,421,130,212,156,52.2222222222222,752,"1",1
"32010",51,1,"SER",NA,1,143,130,NA,NA,53.3333333333333,1120,"3",1
"32010",52,1,"SER",NA,1,142,130,NA,NA,55.5555555555555,1137,"3",1
"32010",53,1,"SER",NA,1,168,130,NA,NA,56.6666666666666,1142,"3",1
"32010",54,1,"SER",NA,1,163,130,NA,NA,57.7777777777777,1140,"3",1
"32050",1,NA,"MBI",NA,1,112,130,85,24,290,241,"2",1
"32050",2,NA,"MBI",NA,1,100,130,93,22,286.666666666666,934,"2",1
"32050",3,NA,"MBI",NA,1,87,130,102,37,288.888888888889,1013,"2",1
"32050",4,NA,"MBI",NA,1,75,130,80,13,281.111111111111,1247,"2",1
"32050",5,NA,"MBI",NA,1,78,130,77,20,318.888888888889,506,"2",1
"32050",6,NA,"MBI",NA,1,78,130,NA,NA,307.777777777777,511,"2",1
"32050",7,NA,"MBI",NA,1,90,130,NA,NA,311.111111111111,635,"2",1
"32050",8,NA,"MBI",NA,1,77,130,NA,NA,342.222222222222,391,"2",1
"32050",9,NA,"MBI",NA,1,76,130,NA,NA,361.111111111111,519,"2",1
"32050",10,NA,"MBI",NA,1,95,130,NA,NA,377.777777777777,799,"2",1
"32050",11,NA,"MBI",NA,1,82,130,NA,NA,373.333333333333,903,"2",1
"32050",12,NA,"MBI",NA,1,95,130,NA,NA,371.111111111111,1064,"2",1
"32050",13,NA,"MBI",NA,1,106,130,83,17,30,244,"2",1
"32050",14,NA,"MBI",NA,1,108,130,NA,NA,33.3333333333333,612,"2",1
"32050",15,NA,"MBI",NA,1,80,130,NA,NA,22.2222222222222,585,"2",1
"32050",16,NA,"MBI",NA,1,95,130,NA,NA,72.2222222222222,911,"2",1
"32050",17,NA,"MBI",NA,1,90,130,NA,NA,84.4444444444444,867,"2",1
"32050",18,NA,"MBI",NA,1,103,130,NA,NA,104.444444444444,678,"2",1
"32050",19,NA,"MBI",NA,1,77,130,NA,NA,120,1110,"2",1
"32050",20,1,"MBI",NA,1,96,130,NA,NA,156.666666666667,971,"2",1
"32050",21,1,"MBI",NA,1,103,130,NA,NA,156.666666666667,986,"2",1
"32050",22,NA,"MBI",NA,1,78,130,NA,NA,187.777777777778,1100,"2",1
"32050",23,NA,"MBI",NA,1,72,130,NA,NA,187.777777777778,975,"2",1
"32050",24,NA,"MBI",NA,1,95,130,NA,NA,191.111111111111,729,"2",1
"32050",25,NA,"MBI",NA,1,77,130,NA,NA,201.111111111111,902,"2",1
"32050",26,NA,"MBI",NA,1,73,130,NA,NA,210,870,"2",1
"32050",27,NA,"MBI",NA,1,74,130,NA,NA,222.222222222222,527,"2",1
"32050",28,NA,"MBI",NA,1,76,130,NA,NA,235.555555555555,486,"2",1
"32050",29,NA,"MBI",NA,1,76,130,NA,NA,250,587,"2",1
"32050",30,NA,"MBI",NA,1,88,130,NA,NA,242.222222222222,672,"2",1
"32050",31,NA,"MBI",NA,1,83,130,NA,NA,230,1064,"2",1
"32050",32,NA,"MBI",NA,1,77,130,NA,NA,224.444444444444,1122,"2",1
"32070",1,1,"SER",68,1,306.8,130,216,141,380,150,"2",1
"32070",2,1,"SER",68,1,284,130,NA,NA,376.666666666666,180,"2",1
"32070",3,NA,"MBI",NA,1,248,130,211,74,361.111111111111,511,"2",1
"32070",4,NA,"SER",68,1,265.5,130,208,154,383.333333333333,563,"2",1
"32070",5,NA,"SER",68,1,174,130,NA,NA,352.222222222222,715,"3",1
"32070",6,1,"SER",68,1,250,130,217,162,364.444444444444,907,"2",1
"32070",7,1,"SER",68,1,251,130,NA,NA,366.666666666666,981,"2",1
"32070",8,NA,"SER",68,1,179,130,NA,NA,350,1118,"3",1
"32070",9,NA,"SER",68,1,211,130,NA,NA,383.333333333333,1064,"2",1
"32070",10,NA,"SER",NA,1,188.2,130,175,80,13.3333333333333,715,NA,2
"32070",11,NA,"SER",68,1,280,130,NA,NA,31.1111111111111,659,"2",1
"32070",12,1,"SER",68,1,243,130,NA,NA,21.1111111111111,977,"2",1
"32070",13,1,"SER",68,1,223,130,NA,NA,18.8888888888889,1003,"2",1
"32070",14,NA,"SER",68,1,243,130,NA,NA,51.1111111111111,1023,"2",1
"32070",15,NA,"SER",68,1,240,130,NA,NA,48.8888888888888,1091,"2",1
"32070",16,NA,"SER",NA,1,135,130,150,113,46.6666666666666,1206,NA,2
"32070",17,NA,"SER",68,1,263,140,NA,NA,79.9999999999999,501,"2",1
"32070",18,NA,"MBI",NA,1,208,130,NA,NA,83.3333333333333,1025,"2",1
"32070",19,NA,"MBI",NA,1,211,140,NA,NA,91.111111111111,1075,"2",1
"32070",20,NA,"MBI",NA,1,114,130,139,96,106.666666666667,1100,NA,2
