"MoMoK_Nr","Spalte1","Bundeland","Datum","Nr_VJ_PK","Lage","Distanz MB [cm]","pk_maxdist [cm]","LfdNr","Baumart (Code)","Baumart","Hoehe [cm]","grklasse"
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"W","West",1000,470,7,153,"STK",170,1
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"W","West",1000,470,8,153,"STK",140,1
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"W","West",1000,470,9,108,"MBI",115,0
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"W","West",1000,470,10,153,"STK",740,3
33050,"Rätzsee/Fleeth","MV",2022-08-08,"N","Nord",1000,386,1,NA,"FLB",140,1
33050,"Rätzsee/Fleeth","MV",2022-08-08,"N","Nord",1000,386,2,NA,"FLB",103,0
33050,"Rätzsee/Fleeth","MV",2022-08-08,"N","Nord",1000,386,3,104,"SER",75,0
33050,"Rätzsee/Fleeth","MV",2022-08-08,"N","Nord",1000,386,4,NA,"FLB",235,1
33050,"Rätzsee/Fleeth","MV",2022-08-08,"N","Nord",1000,386,5,104,"SER",140,1
33050,"Rätzsee/Fleeth","MV",2022-08-08,"N","Nord",1000,386,6,104,"SER",110,0
33050,"Rätzsee/Fleeth","MV",2022-08-08,"N","Nord",1000,386,7,NA,"FLB",380,1
33050,"Rätzsee/Fleeth","MV",2022-08-08,"N","Nord",1000,386,8,104,"SER",520,1
33050,"Rätzsee/Fleeth","MV",2022-08-08,"N","Nord",1000,386,9,104,"SER",670,2
33050,"Rätzsee/Fleeth","MV",2022-08-08,"N","Nord",1000,386,10,NA,"FLB",570,2
33050,"Rätzsee/Fleeth","MV",2022-08-08,"E","Ost",1000,459,1,NA,"FLB",150,1
33050,"Rätzsee/Fleeth","MV",2022-08-08,"E","Ost",1000,459,2,NA,"FLB",100,0
33050,"Rätzsee/Fleeth","MV",2022-08-08,"E","Ost",1000,459,3,104,"SER",80,0
33050,"Rätzsee/Fleeth","MV",2022-08-08,"E","Ost",1000,459,4,NA,"FLB",53,0
33050,"Rätzsee/Fleeth","MV",2022-08-08,"E","Ost",1000,459,5,104,"SER",100,0
33050,"Rätzsee/Fleeth","MV",2022-08-08,"E","Ost",1000,459,6,104,"SER",135,1
