"MoMoK_Nr","Name","Bundeland","Datum_Aufnahme","Nr_PK","BNr","ZW","St","Baumart (Code)","Baumart","Schi","Kraft","Alt","Alt-Meth","BHD [mm]","BHD Hoehe [cm]","Permanent-Maßband","Punktdendrometer","BHD Stufen","Hoehe [dm]","Kronenansatz [dm]","Distanz [cm]","Azimut [Gon]","Azimut [°]","Bemerkung"
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",41,NA,0,207,"GFI",1,"2","70",1,300,130,0,0,6,NA,NA,991,"358.88888888888857",323,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",42,NA,0,207,"GFI",1,"2","37",1,208,130,0,0,4,NA,NA,335,"64.444444444444386",58,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",43,NA,0,207,"GFI",1,"2","70",1,296,130,0,0,5,NA,NA,545,"66.6666666666666",60,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",44,NA,0,207,"GFI",1,"3","37",1,220,130,0,0,4,NA,NA,633,"68.888888888888829",62,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",45,NA,0,207,"GFI",1,"4","37",1,199,130,0,0,3,NA,NA,686,"78.888888888888815",71,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",46,NA,0,207,"GFI",1,"2","70",1,246,130,0,0,4,NA,NA,964,"44.4444444444444",40,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",47,NA,0,207,"GFI",1,"2","70",1,263,130,0,0,5,NA,NA,1139,"55.5555555555555",50,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",48,NA,0,207,"GFI",1,"2","37",1,198,130,0,0,3,NA,NA,1049,"75.555555555555486",68,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",49,NA,0,207,"GFI",2,NA,"NA",1,82,130,0,0,1,NA,NA,1197,"57.777777777777722",52,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",50,NA,0,207,"GFI",1,"2","70",1,294,130,0,0,5,NA,NA,301,"148.88888888888874",134,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",51,NA,0,207,"GFI",1,"2","70",1,298,130,0,0,5,NA,NA,425,"107.77777777777767",97,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",52,NA,0,207,"GFI",1,"2","70",1,309,130,0,0,6,NA,NA,701,"94.444444444444358",85,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",53,NA,0,207,"GFI",1,"3","70",1,254,130,0,0,5,NA,NA,843,"87.7777777777777",79,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",54,NA,0,207,"GFI",1,"2","70",1,256,130,0,0,5,NA,NA,998,"107.77777777777767",97,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",55,NA,0,207,"GFI",1,"4","37",1,146,130,0,0,2,NA,NA,1177,"97.777777777777686",88,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",56,NA,0,207,"GFI",1,"3","37",1,218,130,0,0,4,NA,NA,784,"134.44444444444431",121,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",57,NA,0,207,"GFI",1,"3","37",1,178,130,0,0,3,NA,NA,864,"151.11111111111097",136,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",58,NA,0,207,"GFI",1,"3","37",1,168,130,0,0,3,NA,NA,1022,"145.55555555555543",131,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",59,NA,0,207,"GFI",1,"2","70",1,342,130,0,0,6,NA,NA,1037,"138.88888888888874",125,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",60,NA,0,207,"GFI",1,"2","70",1,273,130,0,0,5,NA,NA,1192,"148.88888888888874",134,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",61,NA,0,207,"GFI",1,"2","70",1,280,130,0,0,5,NA,NA,1084,"117.77777777777767",106,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",62,NA,0,207,"GFI",1,"2","70",1,276,130,0,0,5,NA,NA,331,"212.22222222222203",191,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",63,NA,0,207,"GFI",1,"4","37",1,112,130,0,0,2,NA,NA,574,"222.222222222222",200,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",64,NA,0,207,"GFI",1,"2","70",1,299,130,0,0,5,NA,NA,663,"242.222222222222",218,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",65,NA,0,207,"GFI",2,NA,"NA",1,96,130,0,0,1,NA,NA,791,"213.33333333333314",192,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",66,NA,0,207,"GFI",1,"2","70",1,269,130,0,0,5,NA,NA,930,"224.44444444444423",202,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",67,NA,0,207,"GFI",1,"2","37",1,233,130,0,0,4,NA,NA,972,"246.66666666666643",222,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",68,NA,0,207,"GFI",1,"4","37",1,105,130,0,0,2,NA,NA,932,"257.77777777777754",232,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",69,NA,0,207,"GFI",1,"4","37",1,111,130,0,0,2,NA,NA,1131,"261.11111111111086",235,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",70,NA,0,207,"GFI",1,"4","37",1,160,130,0,0,3,NA,NA,595,"178.88888888888872",161,NA
