"bund_nr","lfd_nr","typ","baumgruppe","durchmesser","laenge","zersetzung","anzahl"
32010,5,1,1,"7",14,5,-9
32010,6,1,1,"15",7,4,-9
32010,7,1,1,"17",6,5,-9
32010,8,1,1,"14",24,4,-9
32010,9,1,1,"10",18,5,-9
32010,10,4,1,"13",6,4,-9
32010,11,1,1,"11",12,4,-9
32010,12,1,1,"9",25,5,-9
32010,13,1,1,"16",8,5,-9
32010,14,4,1,"12",10,4,-9
32010,15,4,1,"12",4,5,-9
32010,16,1,1,"27",5,5,-9
32010,17,4,1,"22",7,5,-9
32010,18,4,1,"20",5,5,-9
32010,19,1,1,"25",5,2,-9
32010,20,1,1,"7",73,1,-9
32010,21,4,1,"20",3,5,-9
32010,22,4,1,"18",8,4,-9
32010,23,1,1,"19",7,5,-9
32010,24,4,1,"37",10,5,-9
32010,25,1,1,"11",22,4,-9
32010,26,4,1,"13",9,5,-9
32010,27,4,1,"17",4,5,-9
32010,28,4,1,"22",4,4,-9
32010,29,1,1,"10",38,4,-9
32010,30,1,1,"10",11,4,-9
32010,31,1,1,"12",20,4,-9
32010,32,5,1,"11",107,1,-9
32050,1,1,1,"14",61,5,-9
32050,2,1,1,"15",48,5,-9
32050,3,1,1,"9",65,5,-9
32050,4,1,1,"11",46,5,-9
32050,5,1,1,"12",50,5,-9
32050,6,1,1,"10",35,5,-9
32050,7,1,1,"9",46,5,-9
32070,1,3,1,"10",28,4,-9
32070,2,1,1,"12",28,2,-9
32070,3,1,1,"8",66,1,-9
32070,4,1,1,"11",32,2,-9
32070,5,4,1,"20",7,3,-9
32070,6,1,1,"16",90,2,-9
32070,7,1,1,"11",61,2,-9
32070,8,1,1,"8",30,2,-9
32070,9,1,1,"12",23,2,-9
32070,10,1,1,"14",38,2,-9
32070,11,4,1,"17",11,1,-9
32070,12,1,1,"9",92,1,-9
32070,13,4,1,"18",10,4,-9
32070,14,1,1,"12",88,2,-9
32070,15,4,1,"15",3,4,-9
32070,16,1,1,"9",30,3,-9
32070,17,1,1,"13",54,3,-9
32070,18,1,1,"10",25,3,-9
32070,19,4,1,"18",9,3,-9
32070,20,1,1,"12",40,3,-9
32070,21,1,1,"14",8,3,-9
32070,22,1,1,"13",7,3,-9
32070,23,1,1,"14",16,3,-9
32070,24,3,1,"15",18,4,-9
32070,25,1,1,"14",16,3,-9
32070,26,3,1,"15",35,4,-9
32070,27,1,1,"15",29,2,-9
32070,28,4,1,"15",7,5,-9
32070,29,4,1,"17",6,5,-9
32070,30,4,1,"14",9,5,-9
32070,31,4,1,"17",5,5,-9
32070,32,4,1,"15",7,5,-9
32070,33,1,1,"10",30,3,-9
32070,34,3,1,"20",56,2,-9
32090,1,2,1,"12",137,1,-9
32090,2,2,1,"11",154,1,-9
32090,3,2,1,"11",137,1,-9
32090,4,3,1,"10",61,1,-9
32090,5,3,1,"10",113,1,-9
32090,6,2,1,"12",143,2,-9
32090,7,3,1,"13",152,2,-9
32090,8,2,1,"10",134,1,-9
32090,9,2,1,"11",138,1,-9
32090,10,2,1,"14",159,1,-9
32090,11,2,1,"14",153,1,-9
32090,12,3,1,"11",16,1,-9
32090,13,3,1,"14",120,2,-9
32090,14,2,1,"12",152,1,-9
32090,15,3,1,"10",48,2,-9
32090,16,2,1,"18",146,1,-9
32090,17,2,1,"14",141,2,-9
32090,18,2,1,"10",128,2,-9
32090,19,2,1,"11",174,2,-9
32090,20,3,1,"12",139,2,-9
32090,21,2,1,"15",178,1,-9
32090,22,3,1,"13",27,1,-9
32090,23,3,1,"11",33,1,-9
32090,24,2,1,"17",185,1,-9
32090,25,3,1,"16",18,1,-9
32090,26,3,1,"14",12,2,-9
32090,27,3,1,"18",42,1,-9
32090,28,2,1,"12",173,1,-9
32090,29,2,1,"16",159,2,-9
32090,30,3,1,"21",40,1,-9
32090,31,2,1,"16",189,2,-9
32090,32,2,1,"19",178,1,-9
32090,33,2,1,"15",172,1,-9
32090,34,2,1,"10",157,1,-9
32090,35,2,1,"13",172,1,-9
32090,36,2,1,"22",190,2,-9
32090,37,4,1,"10",9,1,-9
32090,38,2,1,"11",153,1,-9
32090,39,3,1,"11",152,1,-9
32090,40,2,1,"13",151,2,-9
32090,41,3,1,"11",40,1,-9
32090,42,4,1,"10",10,2,-9
32090,43,2,1,"10",164,1,-9
32090,44,1,1,"14",71,2,-9
32090,45,1,1,"11",50,2,-9
32090,46,1,1,"12",65,2,-9
32090,47,1,1,"14",61,2,-9
32090,48,1,1,"11",31,2,-9
32090,49,1,1,"9",27,2,-9
32090,50,1,1,"11",108,2,-9
32090,51,1,1,"10",70,2,-9
32090,52,1,1,"11",37,2,-9
32090,53,4,1,"11",7,2,-9
32090,54,1,1,"9",46,2,-9
32090,55,4,1,"10",6,2,-9
32090,56,1,1,"9",41,2,-9
32090,57,4,1,"10",5,2,-9
32090,58,4,1,"10",5,2,-9
32090,59,1,1,"10",90,2,-9
32090,60,1,1,"8",60,2,-9
32090,61,2,1,"10",126,2,-9
32090,62,2,1,"13",150,2,-9
32090,63,1,1,"11",50,2,-9
32090,64,4,1,"18",6,2,-9
32090,65,1,1,"13",80,2,-9
32090,66,1,1,"13",65,2,-9
32080,1,4,1,"10",11,5,-9
32080,2,1,1,"10",12,5,-9
32080,3,4,1,"13",3,5,-9
32080,4,1,1,"8",5,5,-9
32080,5,1,1,"16",10,5,-9
32080,6,1,1,"10",3,5,-9
32080,7,1,1,"13",10,5,-9
32080,8,1,1,"8",8,5,-9
32080,9,1,1,"10",6,5,-9
32080,10,4,1,"13",3,5,-9
32080,11,1,1,"10",6,5,-9
32080,12,1,1,"10",32,3,-9
32080,13,1,1,"8",100,2,-9
32080,14,4,1,"12",4,4,-9
32080,15,1,1,"9",26,3,-9
32080,16,1,1,"9",7,5,-9
32080,17,1,1,"8",140,2,-9
32080,18,1,4,"23",2,5,-9
32080,19,1,1,"13",10,5,-9
32080,20,1,1,"8",14,5,-9
32080,21,4,1,"45",4,5,-9
32080,22,4,4,"16",8,5,-9
32080,23,1,1,"12",19,5,-9
32080,24,1,1,"13",13,5,-9
32080,25,1,1,"10",20,5,-9
32080,26,1,1,"12",6,5,-9
32080,27,4,1,"11",9,5,-9
32080,28,1,1,"11",11,5,-9
32080,29,4,1,"10",3,5,-9
32080,30,4,1,"11",6,5,-9
32080,31,1,1,"15",7,5,-9
32080,32,1,1,"11",22,5,-9
32080,33,1,1,"9",15,5,-9
32080,34,1,1,"11",13,5,-9
32080,35,1,1,"7",130,1,-9
32080,36,4,1,"14",2,5,-9
32080,37,1,1,"10",14,4,-9
32080,38,1,1,"9",19,3,-9
32080,39,1,1,"8",37,2,-9
32080,40,1,1,"6",32,2,-9
32080,41,1,1,"8",15,3,-9
32080,42,1,1,"8",27,4,-9
32080,43,4,1,"26",4,3,-9
32080,44,1,1,"8",103,2,-9
32080,45,1,1,"9",32,2,-9
32080,46,1,1,"14",7,5,-9
