"bund_nr","ld","ld_bze","ld_wze","bwi_tnr","bwi_eck","eu_wze","srid_ist","istre","istho","raster_8x8","raster_16x16","raster","hoehenn"
100121,-9,-9,8690,NA,NA,-9,31468,4151878,5500446,FALSE,FALSE,"-9",460
100122,-9,-9,8890,NA,NA,-9,31468,4153947,5500296,FALSE,FALSE,"-9",455
100123,-9,-9,9862,NA,NA,-9,31468,4161643,5471541,FALSE,FALSE,"-9",330
100124,-9,-9,70,NA,NA,651,31468,4164262,5479398,FALSE,TRUE,"-9",240
100125,-9,-9,-9,NA,NA,-9,-9,2574035,5465429,FALSE,FALSE,"-9",-9
90420,-9,-9,-9,NA,NA,-9,31468,4389000,5350000,TRUE,FALSE,"-9",-9
90421,-9,-9,-9,NA,NA,-9,31468,4390000,5358000,TRUE,FALSE,"-9",-9
90422,-9,-9,-9,NA,NA,-9,31468,4404000,5270000,TRUE,FALSE,"-9",-9
90423,-9,-9,-9,NA,NA,-9,31468,4432000,5254000,TRUE,FALSE,"-9",-9
90424,-9,-9,-9,NA,NA,-9,31468,4436000,5258000,TRUE,FALSE,"-9",-9
10044,-9,-9,-9,NA,NA,-9,-9,-9,-9,FALSE,FALSE,"-9",-9
30400,-9,90015,-9,NA,NA,-9,31468,4277275,5552643,FALSE,FALSE,"-9",-9
30524,-9,-9,-9,NA,NA,-9,31468,4428000,5871000,FALSE,FALSE,"-9",-9
30525,-9,-9,-9,NA,NA,-9,31468,4428000,5879000,FALSE,FALSE,"-9",-9
30526,-9,-9,-9,NA,NA,-9,31468,4428000,5887000,FALSE,FALSE,"-9",-9
30527,-9,-9,-9,NA,NA,-9,31468,4356496,5920840,FALSE,FALSE,"-9",-9
30528,-9,-9,-9,NA,NA,-9,31468,4363483,5896520,FALSE,FALSE,"-9",-9
30529,-9,-9,-9,NA,NA,-9,31468,4363818,5904515,FALSE,FALSE,"-9",-9
30530,-9,-9,-9,NA,NA,-9,31468,4364154,5912509,FALSE,FALSE,"-9",-9
30531,-9,-9,-9,NA,NA,-9,31468,4377798,5855881,FALSE,FALSE,"-9",-9
30532,-9,-9,-9,NA,NA,-9,31468,4378132,5863874,FALSE,FALSE,"-9",-9
30533,-9,-9,-9,NA,NA,-9,31468,4385458,5847553,FALSE,FALSE,"-9",-9
30534,-9,-9,-9,NA,NA,-9,31468,4385792,5855547,FALSE,FALSE,"-9",-9
30535,-9,-9,-9,NA,NA,-9,31468,4386126,5863540,FALSE,FALSE,"-9",-9
30536,-9,-9,-9,NA,NA,-9,31468,4352483,5824902,FALSE,FALSE,"-9",-9
30537,-9,-9,-9,NA,NA,-9,31468,4353148,5840892,FALSE,FALSE,"-9",-9
30538,-9,-9,-9,NA,NA,-9,31468,4353482,5848887,FALSE,FALSE,"-9",-9
30539,-9,-9,-9,NA,NA,-9,31468,4360810,5832564,FALSE,FALSE,"-9",-9
30540,-9,-9,-9,NA,NA,-9,31468,4361476,5848553,FALSE,FALSE,"-9",-9
30541,-9,-9,-9,NA,NA,-9,31468,4264852,5836560,FALSE,FALSE,"-9",-9
30542,-9,-9,-9,NA,NA,-9,31468,4274520,5876217,FALSE,FALSE,"-9",-9
30543,-9,-9,-9,NA,NA,-9,31468,4289513,5851555,FALSE,FALSE,"-9",-9
30544,-9,-9,-9,NA,NA,-9,31468,4313503,5850555,FALSE,FALSE,"-9",-9
30545,-9,-9,-9,NA,NA,-9,31468,4314840,5882540,FALSE,FALSE,"-9",-9
30546,-9,-9,-9,NA,NA,-9,31468,4331167,5889866,FALSE,FALSE,"-9",-9
30547,-9,-9,-9,NA,NA,-9,31468,4338828,5881536,FALSE,FALSE,"-9",-9
30548,-9,-9,-9,NA,NA,-9,31468,4339163,5889531,FALSE,FALSE,"-9",-9
30549,-9,-9,-9,NA,NA,-9,31468,4339498,5897526,FALSE,FALSE,"-9",-9
30550,-9,-9,-9,NA,NA,-9,31468,4141086,5835939,FALSE,FALSE,"-9",-9
