"bund_nr","lfd_nr","randtyp","randform","anfang_dist","end_dist","knick_dist","anfang_azi","end_azi","knick_azi"
120093,1,3,1,2281,2253,-2,391,81,-2
120100,1,3,1,1715,1912,-2,100,34,-2
120103,1,2,1,2219,2143,-2,98,167,-2
120108,1,2,1,1719,1668,-2,221,111,-2
120108,2,1,2,1668,1853,1997,111,335,3
120117,1,3,1,1969,2025,-2,137,196,-2
120118,1,3,1,1543,1605,-2,141,73,-2
120119,1,1,1,1823,1678,-2,195,121,-2
120153,1,2,1,1961,1323,-2,50,313,-2
120163,1,3,2,1918,1722,809,290,1,240
120164,1,2,1,1310,1317,-2,384,255,-2
130013,1,3,1,2176,1691,-2,308,380,-2
130017,1,2,1,2165,1982,-2,194,67,-2
130043,1,3,1,1000,1039,-2,27,173,-2
130059,1,3,1,1589,1959,-2,314,181,-2
130064,1,3,1,1973,1671,-2,225,321,-2
140014,1,3,1,1982,1788,-2,129,67,-2
140022,1,1,1,2715,2718,-2,290,340,-2
140023,1,2,1,2795,2982,-2,7,39,-2
140024,1,1,1,1751,1290,-2,343,291,-2
140026,1,1,1,2022,2250,-2,313,387,-2
140027,1,3,1,2622,2466,-2,297,336,-2
140027,2,3,1,1848,2340,-2,376,52,-2
140029,1,3,1,2303,1944,-2,299,363,-2
140033,1,3,1,2276,2302,-2,221,160,-2
140037,1,1,1,2910,2970,-2,48,17,-2
140039,1,2,1,2290,2347,-2,123,82,-2
140042,1,3,1,2720,2980,-2,245,299,-2
140043,1,3,1,2537,1881,-2,146,194,-2
140046,1,3,1,2723,2980,-2,120,146,-2
140048,1,3,2,1555,2136,1123,6,240,143
140053,1,1,1,2998,2631,-2,22,381,-2
140054,1,3,1,2800,2806,-2,106,150,-2
140056,1,1,2,747,2141,1323,324,208,256
140067,1,1,1,1942,2581,-2,396,40,-2
140068,1,1,1,2355,2679,-2,30,383,-2
140187,1,1,2,2430,2730,2980,171,80,121
140234,1,2,1,2285,2128,-2,155,190,-2
140254,1,1,2,970,2522,2478,186,313,274
140316,1,1,1,2680,2503,-2,175,134,-2
150003,1,3,2,2650,3000,2230,305,43,253
150011,1,4,1,1720,1350,-2,240,160,-2
150011,2,4,1,2550,2100,-2,240,160,-2
150016,1,2,1,2153,2196,-2,231,265,-2
150017,1,4,1,1355,1185,-2,256,317,-2
150022,1,1,1,2300,2450,-2,315,370,-2
150032,1,1,1,2000,2050,-2,160,107,-2
150050,1,1,1,2250,2700,-2,395,40,-2
150501,1,4,1,1954,1339,-2,316,396,-2
150502,1,2,1,950,929,-2,157,28,-2
150505,1,3,1,1685,1234,-2,237,307,-2
150507,1,2,2,2520,2820,2230,247,273,273
150507,2,4,1,1300,1430,-2,251,319,-2
150508,1,4,1,1272,1653,-2,262,302,-2
160003,1,1,1,1745,1445,-2,182,253,-2
160008,1,3,2,1531,2408,1544,341,84,61
160017,1,1,1,1919,1877,-2,162,212,-2
160027,1,2,1,2301,2489,-2,75,114,-2
160030,1,3,2,1728,1788,678,287,385,386
160032,1,1,1,2097,2196,-2,291,216,-2
160036,1,1,1,1803,1411,-2,179,223,-2
160036,2,1,1,2496,2249,-2,82,35,-2
160037,1,1,1,2902,2603,-2,149,186,-2
160041,1,3,1,1654,1253,-2,34,367,-2
160042,1,2,1,1695,2073,-2,238,293,-2
160043,1,2,1,1669,1748,-2,233,278,-2
160044,1,1,1,2830,3320,-2,150,124,-2
160045,1,1,1,2835,2768,-2,351,387,-2
160046,1,3,1,1507,1034,-2,235,314,-2
160048,1,1,2,2692,2151,2632,249,359,284
160049,1,1,2,2184,2110,2655,211,338,264
160056,1,1,2,1957,1340,2011,357,17,395
160065,1,2,1,2547,2238,-2,397,47,-2
160068,1,1,2,1520,2149,1473,13,282,340
160068,2,1,1,2248,2517,-2,253,223,-2
160070,1,3,1,1652,1642,-2,229,319,-2
160073,1,2,1,2279,2034,-2,65,93,-2
160077,1,1,1,1857,2238,-2,222,269,-2
160081,1,3,1,2891,2474,-2,318,383,-2
160086,1,3,1,2480,2510,-2,11,64,-2
160086,2,3,1,1723,882,-2,177,242,-2
160087,1,3,1,1736,1841,-2,56,16,-2
160087,2,3,1,1178,1469,-2,205,274,-2
160090,1,1,1,2922,3120,-2,280,240,-2
160091,1,3,1,1831,1465,-2,26,79,-2
160093,1,3,1,2335,2704,-2,31,73,-2
160097,1,1,1,2697,2691,-2,391,21,-2
