"id","kurz","lang","icode","genus","species","ba_bwi","laub_nadel","gueltig_ab","gueltig_bis"
"rka","RKa","Rosskastanie",144,"aesculus","hippocastanum","ka","lb",2015-12-31,NA
"swe","SWe","Salweide",145,"salix","caprea","slb","lb",1986-12-31,NA
"snu","SNu","Schwarznuss",146,"juglans","nigra","slb","lb",NA,NA
"spa","SPa","Schwarzpappel",147,"populus","nigra","pa","lb",1989-12-31,NA
"sp","Sp","Speierling",148,"sorbus","domestica","vb","lb",2005-12-31,NA
"spi","SPi","Spirke",150,"pinus","uncinata","ki","nb",2005-12-31,NA
"sue","SuE","Sumpfeiche",151,"quercus","palustris","ei","lb",NA,NA
"ftk","FTk","Fruehbl. Traubenkirsche",152,"prunus","padus","kir","lb",2009-12-31,NA
"stk","STk","Spaetbl. Traubenkirsche",153,"prunus","serotina","kir","lb",1991-12-31,NA
"tu","Tu","Tulpenbaum",154,"liriodendron","tulipifera","slb","lb",NA,NA
"wes","WEs","Weißesche",156,"fraxinus","americana","es","lb",NA,NA
"wap","WAp","Wildapfel",157,"malus","sylvestris","slb","lb",2013-12-31,NA
"wbi","WBi","Wildbirne",158,"pyrus","pyraster","slb","lb",NA,NA
"wzw","WZw","Wildzwetschge",159,"prunus","cerasifera","kir","lb",NA,NA
"zei","ZEi","Zerreiche",160,"quercus","cerris","ei","lb",2005-12-31,NA
"ash","AsH","Aspenhybriden",161,"populus","hybrides","pa","lb",NA,1899-12-31
"edl","Edl","Edellaubholz",162,"alii","frons noble","slb","lb",NA,NA
"ei","Ei","Eiche",163,"quercus","robur x petraea","ei","lb",1986-12-31,NA
"wpa","WPa","Weisspappel",164,"populus","alba","pa","lb",NA,NA
"wwe","WWE","Weißweide",165,"salix","alba","slb","lb",2003-12-31,NA
"wde","WDe","Eingriffeliger Weißdorn",166,"crataegus","monogyna","slb","lb",NA,NA
"wds","WDs","Weißdorn",167,"crataegus","spp.","slb","lb",NA,1899-12-31
"hpa","HPa","Hybrid Pappel",168,"populus","hybrides","pa","lb",2005-12-31,NA
"slb","sLb","sonstige Laubbaeume",199,"alii","frons","slb","lb",1986-12-31,NA
"ta","Ta","Tanne",200,"abies","spp.","ta","nb",2004-12-31,NA
"wta","WTa","Weiß-Tanne",201,"abies","alba","ta","nb",1986-12-31,NA
"kta","KTa","Kuesten-Tanne",202,"abies","grandis","ta","nb",2004-12-31,NA
"lae","Lae","Laerche",203,"larix","spp.","lae","nb",1986-12-31,NA
"ela","ELa","Europaeische Laerche",204,"larix","decidua","ela","nb",1986-12-31,NA
"jla","JLa","Japanische Laerche",205,"larix","kaempferi","jla","nb",1986-12-31,NA
"fi","Fi","Fichte",206,"picea","spp.","fi","nb",NA,1899-12-31
"gfi","GFi","Gewoehnliche Fichte",207,"picea","abies","fi","nb",1986-12-31,NA
"sfi","SFi","Sitka-Fichte",208,"picea","sitchensis","fi","nb",1986-12-31,NA
"ki","Ki","Kiefer",209,"pinus","spp.","ki","nb",NA,2008-12-31
"ski","SKi","Schwarz-Kiefer",210,"pinus","nigra","ki","nb",1989-12-31,NA
"gki","GKi","Gewoehnliche Kiefer",211,"pinus","sylvestris","ki","nb",1986-12-31,NA
"dgl","Dgl","Douglasie",212,"pseudotsuga","menziestii","dgl","nb",1986-12-31,NA
"kib","KiB","Bankskiefer",213,"pinus","banksiana","ki","nb",NA,NA
"bki","BKi","Bergkiefer",214,"pinus","mugo","ki","nb",2005-12-31,NA
"szy","SZy","Scheinzypresse",215,"chamaecyparis","lawsoniana","snb","nb",NA,NA
"sta","STa","Silbertanne",216,"abies","concolor","ta","nb",NA,NA
"dki","DKi","Drehkiefer",217,"pinus","contorta","ki","nb",NA,NA
"eib","Eib","Eibe",219,"taxus","baccata","eib","nb",NA,NA
"hta","HTa","Hemlocktanne",220,"tsuga","spp.","snb","nb",2004-12-31,NA
"hlä","HLä","Hybridlaerche",221,"larix","eurolepis","lae","nb",NA,NA
"ara","Ara","Japantanne",222,"araucaria","araucana","snb","nb",NA,NA
"le","Le","Lebensbaum",223,"thuja","spp.","snb","nb",2007-12-31,NA
"lta","LTa","Lowes Tanne",224,"abies","…","ta","nb",NA,NA
"mes","Mes","Urweltmammutbaum",225,"metasequoia","glyptostroboides","snb","nb",NA,NA
"nta","NTa","Nordmannstanne",226,"abies","nordmanniana","ta","nb",2004-12-31,NA
"ofi","OFi","Omorika Fichte",227,"picea","omorika","fi","nb",NA,NA
"pki","PKi","Pechkiefer",228,"pinus","rigida","ki","nb",NA,NA
"pta","PTa","Purpurtanne",229,"abies","amabilis","ta","nb",NA,NA
"rzy","RZy","Rauchzypresse",230,"calocedrus","decurrens","snb","nb",NA,NA
